neighborhood,title,price,bedrooms,pid,longitude,date,subregion,link,latitude,sqft
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment  Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4069527772,-122.456145,Sep 18 2013,SF,/sfc/apa/4069527772.html,37.722762,   / 3br - 1500ft² -    
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment within Walking Distance to Whole Foods Mark,$5200,   / 3br - 1500ft² -    ,4075833130,-122.456145,Sep 18 2013,SF,/sfc/apa/4075833130.html,37.722762,   / 3br - 1500ft² -    
 (downtown / civic / van ness),Rent NOW! Stainless Steel and In Unit Washer/Dryer!  Brand NEW! NEMA,$2506,   / 476ft² -    ,4075650703,-122.417182,Sep 18 2013,SF,/sfc/apa/4075650703.html,37.776287,   / 476ft² -    
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment  Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4070330851,-122.456145,Sep 18 2013,SF,/sfc/apa/4070330851.html,37.722762,   / 3br - 1500ft² -    
 (north beach / telegraph hill),"1 Avail. Top Floor, lots of sun light with Courtyard Setting Only 1 ",$4500,   / 2br - 930ft² -    ,4075828081,-122.410330,Sep 18 2013,SF,/sfc/apa/4075828081.html,37.806123,   / 2br - 930ft² -    
 (SOMA / south beach),Portside Jr One Bedroom ,$2500,   / 1br - 550ft² -    ,4058978510,,Sep 18 2013,SF,/sfc/apa/4058978510.html,,   / 1br - 550ft² -    
 (inner sunset / UCSF),$2700- ATTN PRO.1200sf FLAT Bright& Ready,$2700,   / 2br - 1200ft² -    ,4075715787,-122.483600,Sep 18 2013,SF,/sfc/apa/4075715787.html,37.759300,   / 2br - 1200ft² -    
 (pacific heights),Art Deco Doorman Apartment  Building with Golden Gate Views ~ J.Wavro,$4700,   / 1br -    ,4074740396,-122.431634,Sep 17 2013,SF,/sfc/apa/4074740396.html,37.794684,   / 1br -    
 (lower pac hts),Spacious Junior One Bedroom with City Views ~ J.Wavro,$2800,   / 1br -    ,4074738515,-122.425047,Sep 17 2013,SF,/sfc/apa/4074738515.html,37.787130,   / 1br -    
 (SOMA / south beach),2/2 Bath Condo w/ Balcony in Doorman Bldg ~ J.Wavro,$5500,   / 2br -    ,4074736985,-122.389846,Sep 17 2013,SF,/sfc/apa/4074736985.html,37.783609,   / 2br -    
 (SOMA / south beach),Large 2bd/2ba in Bridgeview. Views of Bay-Bridge-City ,$4850,   / 2br - 1223ft² -    ,4042724348,-122.391180,Sep 17 2013,SF,/sfc/apa/4042724348.html,37.787455,   / 2br - 1223ft² -    
 (marina / cow hollow),Luxury furnished Marina top floor flat. ~ J.Wavro,$7700,   / 2br -    ,4074735098,-122.434973,Sep 17 2013,SF,/sfc/apa/4074735098.html,37.802848,   / 2br -    
 (mission district),Bright Loft in the Mission,$3500,   / 1br - 815ft² -    ,4065421984,-122.409157,Sep 17 2013,SF,/sfc/apa/4065421984.html,37.761817,   / 1br - 815ft² -    
 (pacific heights), Bay View Top Floor Furnished Condo with Private Deck ~ J.Wavro,$12500,   / 2br -    ,4074733315,-122.436950,Sep 17 2013,SF,/sfc/apa/4074733315.html,37.795949,   / 2br -    
 (SOMA / south beach),Designer Warehouse Loft - Large 1 bed 1 bath ~ J.Wavro,$4500,   / 1br -    ,4074731308,-122.407871,Sep 17 2013,SF,/sfc/apa/4074731308.html,37.782751,   / 1br -    
 (SOMA / south beach),Soma Grand - Free Housekeeping every 2 weeks! City Skyline Views ~ J.W,$3995,   / 2br -    ,4074724144,-122.413158,Sep 17 2013,SF,/sfc/apa/4074724144.html,37.777457,   / 2br -    
 (nob hill),Nob Hill One bedroom with doorman and valet parking. Pet ok ~ J.Wavro,$3300,   / 1br -    ,4074722449,-122.414470,Sep 17 2013,SF,/sfc/apa/4074722449.html,37.793223,   / 1br -    
 (noe valley),Beautiful furnished home in Noe Valley. ~ J.Wavro,$7500,   / 3br -    ,4074720674,-122.433315,Sep 17 2013,SF,/sfc/apa/4074720674.html,37.742495,   / 3br -    
 (mission district),Just a few blocks from the heart of The Mission - FULLY-FURNISHED,$2600,   / 1br - 746ft² -    ,4033313840,-122.417487,Sep 18 2013,SF,/sfc/apa/4033313840.html,37.765183,   / 1br - 746ft² -    
 (SOMA / south beach),Tri-Level Loft - Amzing layout with parking!,$4900,   / 1br - 1505ft² -    ,4071295844,,Sep 18 2013,SF,/sfc/apa/4071295844.html,,   / 1br - 1505ft² -    
 (SOMA / south beach),Deserve To Live Your Best At Channel Mission Bay!,$3249,   / 549ft² -    ,4076466331,-122.389948,Sep 18 2013,SF,/sfc/apa/4076466331.html,37.773954,   / 549ft² -    
 (laurel hts / presidio),"Modern. Built in 99'  2 bdr/2 bath, pkg included",$3200,   / 2br -    ,4076480721,-122.449000,Sep 18 2013,SF,/sfc/apa/4076480721.html,37.781939,   / 2br -    
 (lower pac hts),Large Court Yard View Studio Oct. 18th ,$2942,   / 600ft² -    ,4076457950,-122.435632,Sep 18 2013,SF,/sfc/apa/4076457950.html,37.785012,   / 600ft² -    
 (SOMA / south beach),Time for a new apartment? Come see what 77 Bluxome has to offer!,$2190,      ,4076415427,,Sep 18 2013,SF,/sfc/apa/4076415427.html,,      
 (lower nob hill),Soar on top of SF in this Large 1 BR on the highest floor! Great Views,$3130,   / 1br - 730ft² -    ,4076404590,,Sep 18 2013,SF,/sfc/apa/4076404590.html,,   / 1br - 730ft² -    
 (lower nob hill),Beautifully Remodeled Studio w/ Granite Counters & Hardwood!,$1995,      ,4076449249,-122.414995,Sep 18 2013,SF,/sfc/apa/4076449249.html,37.787454,      
 (SOMA / south beach),1 Bedroom with hardwood floors!,$2990,   / 1br - 778ft² -    ,4076385313,-122.393050,Sep 18 2013,SF,/sfc/apa/4076385313.html,37.777138,   / 1br - 778ft² -    
 (pacific heights),Broadway Towers *AMSI* Call Scott,$6500,   / 2br - 1400ft² -    ,4076459593,,Sep 18 2013,SF,/sfc/apa/4076459593.html,,   / 2br - 1400ft² -    
 (SOMA / south beach),Spacious Floorplan,$4222,   / 2br - 1095ft² -    ,4076455573,,Sep 18 2013,SF,/sfc/apa/4076455573.html,,   / 2br - 1095ft² -    
 (richmond / seacliff),Central Richmond Dist Single Family Home ~ J.Wavro,$4750,   / 4br -    ,4075417101,-122.488471,Sep 18 2013,SF,/sfc/apa/4075417101.html,37.772374,   / 4br -    
 (ingleside / SFSU / CCSF),"4 Closets, Balcony, Parking, Pool and More",,  510ft² -    ,4048856834,-122.493398,Sep 18 2013,SF,/sfc/apa/4048856834.html,37.714652,  510ft² -    
 (western addition),Newly remodeled Apartment With Large Balcony! Avail. Now!,$2725,   / 1br - 699ft² -    ,4075415345,-122.432681,Sep 18 2013,SF,/sfc/apa/4075415345.html,37.783170,   / 1br - 699ft² -    
 (north beach / telegraph hill),Sunny One Bedroom Flat with City View,$2675,   / 1br -    ,4075414998,-122.405371,Sep 18 2013,SF,/sfc/apa/4075414998.html,37.799960,   / 1br -    
 (SOMA / south beach),Walking distance to everything!!!,$3075,   / 1br - 565ft² -    ,4075408412,,Sep 18 2013,SF,/sfc/apa/4075408412.html,,   / 1br - 565ft² -    
 (western addition),View! View! View! Renovated Penthouse with Balcony and Fireplace.,$2899,   / 1br - 660ft² -    ,4075406688,-122.432681,Sep 18 2013,SF,/sfc/apa/4075406688.html,37.783170,   / 1br - 660ft² -    
 (financial district),1 bedroom plus Den in Doorman Bldg,$3300,   / 1br -    ,4047152565,-122.398977,Sep 18 2013,SF,/sfc/apa/4047152565.html,37.786209,   / 1br -    
 (SOMA / south beach),1 bedroom plus Den in Doorman Bldg,$3300,   / 1br -    ,4021860715,-122.398977,Sep 18 2013,SF,/sfc/apa/4021860715.html,37.786209,   / 1br -    
 (russian hill),1 bedroom with great views - doorman building ~ J.Wavro,$4300,   / 1br -    ,4075402126,-122.415572,Sep 18 2013,SF,/sfc/apa/4075402126.html,37.798680,   / 1br -    
 (downtown / civic / van ness),"1 Bed, 1 Bath - Condo at Opera Plaza",$2800,   / 1br - 558ft² -    ,4075285410,,Sep 18 2013,SF,/sfc/apa/4075285410.html,,   / 1br - 558ft² -    
 (inner sunset / UCSF),Reserve this top-floor home with fireplace now before it's gone,$2815,   / 1br -    ,4074272324,-122.460157,Sep 17 2013,SF,/sfc/apa/4074272324.html,37.753738,   / 1br -    
 (899 Pine Street - Nob Hill)),Penthouse 2x2 ♦ 19th floor ♦ Bay View ♦,$7595,   / 2br -    ,4074266125,,Sep 17 2013,SF,/sfc/apa/4074266125.html,,   / 2br -    
 (SOMA / south beach),Parkside Setting!,$3249,   / 1br - 740ft² -    ,4074264820,-122.396669,Sep 17 2013,SF,/sfc/apa/4074264820.html,37.773167,   / 1br - 740ft² -    
 (downtown / civic / van ness),Comtemporary Furnished Studio,$1800,      ,4063182445,-122.413235,Sep 17 2013,SF,/sfc/apa/4063182445.html,37.787093,      
 (sunset / parkside),2 Bedroom Sunset Lower Unit (Open House 9/21 2-3pm),$2500,   / 2br - 810ft² -    ,4074252612,-122.491615,Sep 17 2013,SF,/sfc/apa/4074252612.html,37.740133,   / 2br - 810ft² -    
 (marina / cow hollow),Large Sunny Studio - Great Location,$2250,      ,4074245001,-122.436274,Sep 17 2013,SF,/sfc/apa/4074245001.html,37.800814,      
 (USF / panhandle),1 Bed 1 Bath with your own parking,$2300,   / 1br -    ,4074252286,-122.440620,Sep 17 2013,SF,/sfc/apa/4074252286.html,37.773674,   / 1br -    
 (north beach / telegraph hill),Light Filled/Remodeled Studio,$2350,   / 456ft² -    ,4074249278,-122.407057,Sep 17 2013,SF,/sfc/apa/4074249278.html,37.802617,   / 456ft² -    
 (mission district),"Resort-Style 1 BR + Pool, Rent Control near Dolores Park",$2250,   / 1br - 650ft² -    ,4074244762,,Sep 17 2013,SF,/sfc/apa/4074244762.html,,   / 1br - 650ft² -    
 (sunset / parkside),$1500  Studio  available,$1500,      ,4074133552,-122.483600,Sep 17 2013,SF,/sfc/apa/4074133552.html,37.759300,      
 (nob hill),HURRY!!!Renovated studio STEPS from all Downtown!Your new home,$1995,      ,4074090462,,Sep 17 2013,SF,/sfc/apa/4074090462.html,,      
 (downtown / civic / van ness),Charming Studio,$1050,      ,4076148640,-122.415869,Sep 18 2013,SF,/sfc/apa/4076148640.html,37.782875,      
 (pacific heights),Junior 1 Bedroom with Hardwood,$2200,   / 1br -    ,4071453887,-122.433760,Sep 18 2013,SF,/sfc/apa/4071453887.html,37.793472,   / 1br -    
 (inner sunset / UCSF),Avalon Sunset Towers Luxurious Living & Close To Shopping and Dining,$2720,   / 1br - 665ft² -    ,4076149983,-122.462864,Sep 18 2013,SF,/sfc/apa/4076149983.html,37.759540,   / 1br - 665ft² -    
 (castro / upper market),Designer 3 bedroom Home w/ Views ~ J.Wavro,$9800,   / 3br -    ,4076142848,-122.438112,Sep 18 2013,SF,/sfc/apa/4076142848.html,37.759093,   / 3br -    
 (financial district),Millennium Residence - 1 bed 1 bath ~ J.Wavro,$3950,   / 1br -    ,4076138644,-122.395813,Sep 18 2013,SF,/sfc/apa/4076138644.html,37.791153,   / 1br -    
 (inner sunset / UCSF),Rentals In SF / Mid-century modern home with panoramic ocean views!,$3495,   / 2br - 1100ft² -    ,4061194018,-122.468481,Sep 18 2013,SF,/sfc/apa/4061194018.html,37.748946,   / 2br - 1100ft² -    
 (castro / upper market),Rentals In SF / Junior one bedroom APT in great area! PICS,$2395,   / 1br -    ,4071656400,-122.439074,Sep 18 2013,SF,/sfc/apa/4071656400.html,37.757855,   / 1br -    
 (inner sunset / UCSF),Spacious 1 bedroom (walking paradise),$1800,   / 1br -    ,4063302343,-122.471668,Sep 18 2013,SF,/sfc/apa/4063302343.html,37.763802,   / 1br -    
 (alamo square / nopa),Spacious 4BR/4BA Furnished Condo for Rent - 2800 sq ft,$7950,   / 4br - 2800ft² -    ,4076117035,,Sep 18 2013,SF,/sfc/apa/4076117035.html,,   / 4br - 2800ft² -    
 (cole valley / ashbury hts),Rentals In SF / Top floor Edwardian apartment - hardwood floors! PICS,$3495,   / 2br -    ,4061224609,-122.449958,Sep 18 2013,SF,/sfc/apa/4061224609.html,37.765800,   / 2br -    
 (inner richmond),2+BR Upper Unit Flat (California St & 5th Ave) - Close to CPMC & USF,$3500,   / 2br - 1300ft² -    ,4076121202,-122.446793,Sep 18 2013,SF,/sfc/apa/4076121202.html,37.787262,   / 2br - 1300ft² -    
 (richmond / seacliff),Beautiful large scaled view home in Sea Cliff ~ J.Wavro,$14500,   / 5br -    ,4075659019,-122.490561,Sep 18 2013,SF,/sfc/apa/4075659019.html,37.786283,   / 5br -    
 (marina / cow hollow),Spacious Top Floor Studio with Hardwood Floors & Huge Walk-in Closet ,$2400,      ,4060520351,,Sep 18 2013,SF,/sfc/apa/4060520351.html,,      
 (ingleside / SFSU / CCSF),Hurry Before It's Gone- Studio With Parking And More!,,  510ft² -    ,4075653212,-122.493398,Sep 18 2013,SF,/sfc/apa/4075653212.html,37.714652,  510ft² -    
 (haight ashbury),Steele Properties Presents: Beautiful Edwardian 4 BD at Haight/Ashbury,$5950,   / 4br - 1700ft² -    ,4060408468,-122.447027,Sep 18 2013,SF,/sfc/apa/4060408468.html,37.770462,   / 4br - 1700ft² -    
 (SOMA / south beach),Soma Grand Luxury Condo w/ City Views and dedicated parking ~ J.Wavro,$3000,   / 1br -    ,4075652858,-122.413158,Sep 18 2013,SF,/sfc/apa/4075652858.html,37.777457,   / 1br -    
 (laurel hts / presidio),"Spacious Modern Condo w/ Hardwood Floors, Parking, & Storage",$3900,   / 2br -    ,4060522317,,Sep 18 2013,SF,/sfc/apa/4060522317.html,,   / 2br -    
 (marina / cow hollow),"Charming Studio, Walk to Every Thing! Laundry, Remodeled-FOUNDATION",$2695,   / 1br -    ,4075630003,,Sep 18 2013,SF,/sfc/apa/4075630003.html,,   / 1br -    
 (inner sunset / UCSF),in-law Apt for rent in Sunset District ,$1800,   / 1br -    ,4058500507,-122.478744,Sep 18 2013,SF,/sfc/apa/4058500507.html,37.756014,   / 1br -    
 (laurel hts / presidio),Laurel Heights VIEWS w 2 car prk ~ J.Wavro,$2975,   / 1br -    ,4075644865,-122.449209,Sep 18 2013,SF,/sfc/apa/4075644865.html,37.784196,   / 1br -    
 (downtown / civic / van ness),Immaculate full service amenities w parking ~ J.Wavro,$2950,   / 1br -    ,4075639888,-122.424538,Sep 18 2013,SF,/sfc/apa/4075639888.html,37.801304,   / 1br -    
 (potrero hill),"Beautiful Top Floor 2bed/2bath w/ Views, Den, Balcony and Parking!!",$5385,   / 2br - 1465ft² -    ,4075529835,,Sep 18 2013,SF,/sfc/apa/4075529835.html,,   / 2br - 1465ft² -    
 (SOMA / south beach),Hawthorne Penthouse - Full Service - ReLISTO ,$9500,   / 3br - 1975ft² -    ,4035704095,,Sep 18 2013,SF,/sfc/apa/4035704095.html,,   / 3br - 1975ft² -    
 (SOMA / south beach),Open House Saturday 9/21-2PM -Bright Huge Loft - ReLISTO,$3695,   / 1br - 1000ft² -    ,4047115731,,Sep 18 2013,SF,/sfc/apa/4047115731.html,,   / 1br - 1000ft² -    
 (SOMA / south beach),BRAND NEW - PENTHOUSE - AVAILABLE NOW - ReLISTO,$9500,   / 3br - 1975ft² -    ,4046795544,,Sep 18 2013,SF,/sfc/apa/4046795544.html,,   / 3br - 1975ft² -    
 (SOMA / south beach),Open House 9/21 -Bright Urban Live/Work Now Available! - ReLISTO ,$3695,   / 1br - 1000ft² -    ,4072023556,-122.401518,Sep 18 2013,SF,/sfc/apa/4072023556.html,37.774385,   / 1br - 1000ft² -    
