country_group,seasonality,sex,age_group,month,unemployment,unemployment_rate
eu,nsa,f,y25-74,2010.05,8066000,8.2
eu,nsa,f,y25-74,2010.06,7859000,8
eu,nsa,f,y25-74,2010.07,7890000,8
eu,nsa,f,y25-74,2010.08,7829000,8
eu,nsa,f,y25-74,2010.09,8006000,8.1
eu,nsa,f,y25-74,2010.10,8243000,8.4
eu,nsa,f,y25-74,2010.11,8186000,8.3
eu,nsa,f,y25-74,2010.12,8070000,8.2
eu,nsa,f,y_lt25,2000.01,2506000,19
eu,nsa,f,y_lt25,2000.02,2486000,19
eu,nsa,f,y_lt25,2000.03,2438000,18.6
eu,nsa,f,y_lt25,2000.04,2349000,17.9
eu,nsa,f,y_lt25,2000.05,2336000,17.7
eu,nsa,f,y_lt25,2000.06,2405000,17.9
eu,nsa,f,y_lt25,2000.07,2455000,17.8
eu,nsa,f,y_lt25,2000.08,2513000,18.2
eu,nsa,f,y_lt25,2000.09,2526000,18.3
eu,nsa,f,y_lt25,2000.10,2477000,18.3
eu,nsa,f,y_lt25,2000.11,2445000,18.1
eu,nsa,f,y_lt25,2000.12,2349000,17.5
eu,nsa,f,y_lt25,2001.01,2385000,18.1
eu,nsa,f,y_lt25,2001.02,2379000,18.1
eu,nsa,f,y_lt25,2001.03,2356000,18
eu,nsa,f,y_lt25,2001.04,2275000,17.4
eu,nsa,f,y_lt25,2001.05,2303000,17.5
eu,nsa,f,y_lt25,2001.06,2372000,17.7
eu,nsa,f,y_lt25,2001.07,2413000,17.5
eu,nsa,f,y_lt25,2001.08,2476000,17.9
eu,nsa,f,y_lt25,2001.09,2498000,18.1
eu,nsa,f,y_lt25,2001.10,2466000,18.3
eu,nsa,f,y_lt25,2001.11,2420000,18.1
eu,nsa,f,y_lt25,2001.12,2339000,17.7
eu,nsa,f,y_lt25,2002.01,2402000,18.4
eu,nsa,f,y_lt25,2002.02,2368000,18.3
eu,nsa,f,y_lt25,2002.03,2342000,18.1
eu,nsa,f,y_lt25,2002.04,2280000,17.7
eu,nsa,f,y_lt25,2002.05,2272000,17.6
eu,nsa,f,y_lt25,2002.06,2372000,18
eu,nsa,f,y_lt25,2002.07,2433000,18
eu,nsa,f,y_lt25,2002.08,2497000,18.4
eu,nsa,f,y_lt25,2002.09,2495000,18.5
eu,nsa,f,y_lt25,2002.10,2437000,18.6
eu,nsa,f,y_lt25,2002.11,2373000,18.2
eu,nsa,f,y_lt25,2002.12,2285000,17.8
eu,nsa,f,y_lt25,2003.01,2318000,18.3
eu,nsa,f,y_lt25,2003.02,2285000,18.2
eu,nsa,f,y_lt25,2003.03,2269000,18.1
eu,nsa,f,y_lt25,2003.04,2257000,18
eu,nsa,f,y_lt25,2003.05,2296000,18.2
eu,nsa,f,y_lt25,2003.06,2405000,18.6
eu,nsa,f,y_lt25,2003.07,2413000,18.2
eu,nsa,f,y_lt25,2003.08,2429000,18.4
eu,nsa,f,y_lt25,2003.09,2431000,18.4
eu,nsa,f,y_lt25,2003.10,2322000,18.1
eu,nsa,f,y_lt25,2003.11,2273000,17.9
eu,nsa,f,y_lt25,2003.12,2215000,17.6
eu,nsa,f,y_lt25,2004.01,2320000,18.4
eu,nsa,f,y_lt25,2004.02,2357000,18.8
eu,nsa,f,y_lt25,2004.03,2324000,18.4
eu,nsa,f,y_lt25,2004.04,2323000,18.6
eu,nsa,f,y_lt25,2004.05,2339000,18.6
eu,nsa,f,y_lt25,2004.06,2428000,18.8
eu,nsa,f,y_lt25,2004.07,2447000,18.5
eu,nsa,f,y_lt25,2004.08,2476000,18.8
eu,nsa,f,y_lt25,2004.09,2548000,19.4
eu,nsa,f,y_lt25,2004.10,2500000,19.4
eu,nsa,f,y_lt25,2004.11,2420000,19
eu,nsa,f,y_lt25,2004.12,2277000,18.2
eu,nsa,f,y_lt25,2005.01,2301000,18.6
eu,nsa,f,y_lt25,2005.02,2328000,18.9
eu,nsa,f,y_lt25,2005.03,2240000,18.3
eu,nsa,f,y_lt25,2005.04,2193000,18
eu,nsa,f,y_lt25,2005.05,2274000,18.3
eu,nsa,f,y_lt25,2005.06,2336000,18.4
eu,nsa,f,y_lt25,2005.07,2435000,18.8
eu,nsa,f,y_lt25,2005.08,2403000,18.5
eu,nsa,f,y_lt25,2005.09,2505000,19.3
eu,nsa,f,y_lt25,2005.10,2371000,18.7
eu,nsa,f,y_lt25,2005.11,2286000,18.1
eu,nsa,f,y_lt25,2005.12,2178000,17.5
eu,nsa,f,y_lt25,2006.01,2222000,18.1
eu,nsa,f,y_lt25,2006.02,2251000,18.4
eu,nsa,f,y_lt25,2006.03,2166000,17.7
eu,nsa,f,y_lt25,2006.04,2101000,17.3
eu,nsa,f,y_lt25,2006.05,2111000,17.2
eu,nsa,f,y_lt25,2006.06,2119000,16.9
eu,nsa,f,y_lt25,2006.07,2222000,17.3
eu,nsa,f,y_lt25,2006.08,2307000,17.9
eu,nsa,f,y_lt25,2006.09,2338000,18.1
eu,nsa,f,y_lt25,2006.10,2248000,17.8
eu,nsa,f,y_lt25,2006.11,2110000,16.9
eu,nsa,f,y_lt25,2006.12,2000000,16.2
eu,nsa,f,y_lt25,2007.01,2086000,17.2
eu,nsa,f,y_lt25,2007.02,2003000,16.6
eu,nsa,f,y_lt25,2007.03,1869000,15.7
eu,nsa,f,y_lt25,2007.04,1851000,15.4
eu,nsa,f,y_lt25,2007.05,1857000,15.3
eu,nsa,f,y_lt25,2007.06,2003000,16
eu,nsa,f,y_lt25,2007.07,1941000,15.2
eu,nsa,f,y_lt25,2007.08,2031000,15.9
eu,nsa,f,y_lt25,2007.09,2064000,16.1
eu,nsa,f,y_lt25,2007.10,1954000,15.7
eu,nsa,f,y_lt25,2007.11,1830000,14.8
eu,nsa,f,y_lt25,2007.12,1763000,14.4
eu,nsa,f,y_lt25,2008.01,1826000,15.1
eu,nsa,f,y_lt25,2008.02,1804000,14.9
eu,nsa,f,y_lt25,2008.03,1755000,14.7
eu,nsa,f,y_lt25,2008.04,1794000,14.8
eu,nsa,f,y_lt25,2008.05,1836000,15.1
eu,nsa,f,y_lt25,2008.06,1913000,15.4
eu,nsa,f,y_lt25,2008.07,1948000,15.2
eu,nsa,f,y_lt25,2008.08,2015000,15.8
eu,nsa,f,y_lt25,2008.09,2017000,16
eu,nsa,f,y_lt25,2008.10,1972000,15.9
eu,nsa,f,y_lt25,2008.11,1987000,16.2
eu,nsa,f,y_lt25,2008.12,1856000,15.4
eu,nsa,f,y_lt25,2009.01,1986000,16.6
eu,nsa,f,y_lt25,2009.02,2151000,17.8
eu,nsa,f,y_lt25,2009.03,2190000,18.2
eu,nsa,f,y_lt25,2009.04,2145000,17.9
eu,nsa,f,y_lt25,2009.05,2146000,17.8
eu,nsa,f,y_lt25,2009.06,2200000,18
eu,nsa,f,y_lt25,2009.07,2315000,18.6
eu,nsa,f,y_lt25,2009.08,2375000,19.1
eu,nsa,f,y_lt25,2009.09,2470000,19.9
eu,nsa,f,y_lt25,2009.10,2333000,19.2
eu,nsa,f,y_lt25,2009.11,2215000,18.6
eu,nsa,f,y_lt25,2009.12,2106000,17.9
eu,nsa,f,y_lt25,2010.01,2202000,19
eu,nsa,f,y_lt25,2010.02,2291000,19.6
eu,nsa,f,y_lt25,2010.03,2214000,19.1
eu,nsa,f,y_lt25,2010.04,2241000,19.3
eu,nsa,f,y_lt25,2010.05,2285000,19.5
eu,nsa,f,y_lt25,2010.06,2288000,19.3
eu,nsa,f,y_lt25,2010.07,2355000,19.4
eu,nsa,f,y_lt25,2010.08,2402000,19.8
eu,nsa,f,y_lt25,2010.09,2511000,20.7
eu,nsa,f,y_lt25,2010.10,2482000,20.8
eu,nsa,f,y_lt25,2010.11,2386000,20.2
eu,nsa,f,y_lt25,2010.12,2258000,19.5
eu,nsa,m,y25-74,2000.01,7786000,7.1
eu,nsa,m,y25-74,2000.02,7875000,7.2
eu,nsa,m,y25-74,2000.03,7846000,7.2
eu,nsa,m,y25-74,2000.04,7424000,6.8
eu,nsa,m,y25-74,2000.05,7201000,6.6
eu,nsa,m,y25-74,2000.06,6994000,6.4
eu,nsa,m,y25-74,2000.07,6832000,6.2
eu,nsa,m,y25-74,2000.08,6752000,6.1
eu,nsa,m,y25-74,2000.09,6708000,6.1
eu,nsa,m,y25-74,2000.10,6759000,6.1
eu,nsa,m,y25-74,2000.11,6803000,6.2
eu,nsa,m,y25-74,2000.12,6998000,6.4
eu,nsa,m,y25-74,2001.01,7398000,6.8
eu,nsa,m,y25-74,2001.02,7464000,6.8
eu,nsa,m,y25-74,2001.03,7480000,6.8
eu,nsa,m,y25-74,2001.04,7167000,6.5
eu,nsa,m,y25-74,2001.05,7073000,6.4
eu,nsa,m,y25-74,2001.06,6954000,6.3
eu,nsa,m,y25-74,2001.07,6857000,6.2
eu,nsa,m,y25-74,2001.08,6827000,6.2
eu,nsa,m,y25-74,2001.09,6845000,6.2
eu,nsa,m,y25-74,2001.10,7007000,6.3
eu,nsa,m,y25-74,2001.11,7114000,6.4
eu,nsa,m,y25-74,2001.12,7380000,6.7
eu,nsa,m,y25-74,2002.01,7872000,7.2
eu,nsa,m,y25-74,2002.02,8014000,7.3
eu,nsa,m,y25-74,2002.03,8022000,7.3
eu,nsa,m,y25-74,2002.04,7695000,7
eu,nsa,m,y25-74,2002.05,7559000,6.8
eu,nsa,m,y25-74,2002.06,7455000,6.7
eu,nsa,m,y25-74,2002.07,7403000,6.7
eu,nsa,m,y25-74,2002.08,7422000,6.7
eu,nsa,m,y25-74,2002.09,7476000,6.7
eu,nsa,m,y25-74,2002.10,7646000,6.9
eu,nsa,m,y25-74,2002.11,7727000,7
eu,nsa,m,y25-74,2002.12,7992000,7.2
eu,nsa,m,y25-74,2003.01,8321000,7.5
eu,nsa,m,y25-74,2003.02,8377000,7.6
eu,nsa,m,y25-74,2003.03,8423000,7.6
eu,nsa,m,y25-74,2003.04,7974000,7.2
eu,nsa,m,y25-74,2003.05,7791000,7
eu,nsa,m,y25-74,2003.06,7650000,6.9
eu,nsa,m,y25-74,2003.07,7539000,6.8
eu,nsa,m,y25-74,2003.08,7514000,6.7
eu,nsa,m,y25-74,2003.09,7478000,6.7
eu,nsa,m,y25-74,2003.10,7685000,6.9
eu,nsa,m,y25-74,2003.11,7793000,7
eu,nsa,m,y25-74,2003.12,8069000,7.2
eu,nsa,m,y25-74,2004.01,8525000,7.7
eu,nsa,m,y25-74,2004.02,8587000,7.7
eu,nsa,m,y25-74,2004.03,8549000,7.7
eu,nsa,m,y25-74,2004.04,8118000,7.2
eu,nsa,m,y25-74,2004.05,7946000,7.1
eu,nsa,m,y25-74,2004.06,7800000,6.9
eu,nsa,m,y25-74,2004.07,7661000,6.8
eu,nsa,m,y25-74,2004.08,7636000,6.8
eu,nsa,m,y25-74,2004.09,7694000,6.8
eu,nsa,m,y25-74,2004.10,7834000,6.9
eu,nsa,m,y25-74,2004.11,7935000,7
eu,nsa,m,y25-74,2004.12,8120000,7.2
eu,nsa,m,y25-74,2005.01,8489000,7.5
eu,nsa,m,y25-74,2005.02,8523000,7.5
eu,nsa,m,y25-74,2005.03,8603000,7.6
eu,nsa,m,y25-74,2005.04,8237000,7.3
eu,nsa,m,y25-74,2005.05,8029000,7.1
eu,nsa,m,y25-74,2005.06,7734000,6.8
eu,nsa,m,y25-74,2005.07,7415000,6.5
eu,nsa,m,y25-74,2005.08,7563000,6.6
eu,nsa,m,y25-74,2005.09,7502000,6.6
eu,nsa,m,y25-74,2005.10,7772000,6.8
eu,nsa,m,y25-74,2005.11,7709000,6.7
eu,nsa,m,y25-74,2005.12,7823000,6.9
eu,nsa,m,y25-74,2006.01,8206000,7.2
eu,nsa,m,y25-74,2006.02,8171000,7.2
eu,nsa,m,y25-74,2006.03,8050000,7.1
eu,nsa,m,y25-74,2006.04,7685000,6.7
eu,nsa,m,y25-74,2006.05,7238000,6.3
eu,nsa,m,y25-74,2006.06,7103000,6.2
eu,nsa,m,y25-74,2006.07,6932000,6
eu,nsa,m,y25-74,2006.08,6801000,5.9
eu,nsa,m,y25-74,2006.09,6786000,5.9
eu,nsa,m,y25-74,2006.10,6841000,5.9
eu,nsa,m,y25-74,2006.11,6948000,6
eu,nsa,m,y25-74,2006.12,7002000,6.1
eu,nsa,m,y25-74,2007.01,7148000,6.2
eu,nsa,m,y25-74,2007.02,7130000,6.2
eu,nsa,m,y25-74,2007.03,6951000,6
eu,nsa,m,y25-74,2007.04,6360000,5.5
eu,nsa,m,y25-74,2007.05,6359000,5.5
eu,nsa,m,y25-74,2007.06,6028000,5.2
eu,nsa,m,y25-74,2007.07,6154000,5.3
eu,nsa,m,y25-74,2007.08,5966000,5.2
eu,nsa,m,y25-74,2007.09,5949000,5.1
eu,nsa,m,y25-74,2007.10,5894000,5.1
eu,nsa,m,y25-74,2007.11,6087000,5.2
eu,nsa,m,y25-74,2007.12,6312000,5.4
eu,nsa,m,y25-74,2008.01,6580000,5.7
eu,nsa,m,y25-74,2008.02,6506000,5.6
eu,nsa,m,y25-74,2008.03,6462000,5.6
eu,nsa,m,y25-74,2008.04,6345000,5.4
eu,nsa,m,y25-74,2008.05,6096000,5.2
eu,nsa,m,y25-74,2008.06,6147000,5.3
eu,nsa,m,y25-74,2008.07,6020000,5.2
eu,nsa,m,y25-74,2008.08,5939000,5.1
eu,nsa,m,y25-74,2008.09,6089000,5.2
eu,nsa,m,y25-74,2008.10,6332000,5.4
eu,nsa,m,y25-74,2008.11,6764000,5.8
eu,nsa,m,y25-74,2008.12,7340000,6.3
eu,nsa,m,y25-74,2009.01,8162000,7
eu,nsa,m,y25-74,2009.02,8641000,7.4
eu,nsa,m,y25-74,2009.03,8870000,7.6
eu,nsa,m,y25-74,2009.04,8774000,7.5
eu,nsa,m,y25-74,2009.05,8672000,7.4
eu,nsa,m,y25-74,2009.06,8602000,7.4
eu,nsa,m,y25-74,2009.07,8645000,7.4
eu,nsa,m,y25-74,2009.08,8688000,7.4
eu,nsa,m,y25-74,2009.09,8920000,7.6
eu,nsa,m,y25-74,2009.10,9021000,7.7
eu,nsa,m,y25-74,2009.11,9202000,7.9
eu,nsa,m,y25-74,2009.12,9607000,8.2
eu,nsa,m,y25-74,2010.01,10299000,8.8
eu,nsa,m,y25-74,2010.02,10452000,9
eu,nsa,m,y25-74,2010.03,10279000,8.8
eu,nsa,m,y25-74,2010.04,9948000,8.5
eu,nsa,m,y25-74,2010.05,9616000,8.2
eu,nsa,m,y25-74,2010.06,9358000,8
eu,nsa,m,y25-74,2010.07,9221000,7.9
eu,nsa,m,y25-74,2010.08,9141000,7.8
eu,nsa,m,y25-74,2010.09,9133000,7.8
eu,nsa,m,y25-74,2010.10,9340000,8
eu,nsa,m,y25-74,2010.11,9324000,8
eu,nsa,m,y25-74,2010.12,9701000,8.3
eu,nsa,m,y_lt25,2000.01,2693000,17.8
eu,nsa,m,y_lt25,2000.02,2700000,17.9
eu,nsa,m,y_lt25,2000.03,2656000,17.6
eu,nsa,m,y_lt25,2000.04,2499000,16.6
eu,nsa,m,y_lt25,2000.05,2475000,16.3
eu,nsa,m,y_lt25,2000.06,2497000,16.2
eu,nsa,m,y_lt25,2000.07,2577000,16.2
eu,nsa,m,y_lt25,2000.08,2637000,16.4
eu,nsa,m,y_lt25,2000.09,2592000,16.2
eu,nsa,m,y_lt25,2000.10,2568000,16.4
eu,nsa,m,y_lt25,2000.11,2556000,16.3
eu,nsa,m,y_lt25,2000.12,2551000,16.4
eu,nsa,m,y_lt25,2001.01,2636000,17.2
eu,nsa,m,y_lt25,2001.02,2676000,17.4
eu,nsa,m,y_lt25,2001.03,2631000,17.2
eu,nsa,m,y_lt25,2001.04,2472000,16.3
eu,nsa,m,y_lt25,2001.05,2495000,16.3
eu,nsa,m,y_lt25,2001.06,2559000,16.5
eu,nsa,m,y_lt25,2001.07,2632000,16.4
eu,nsa,m,y_lt25,2001.08,2693000,16.7
eu,nsa,m,y_lt25,2001.09,2659000,16.6
eu,nsa,m,y_lt25,2001.10,2703000,17.3
eu,nsa,m,y_lt25,2001.11,2715000,17.5
eu,nsa,m,y_lt25,2001.12,2707000,17.6
eu,nsa,m,y_lt25,2002.01,2833000,18.6
eu,nsa,m,y_lt25,2002.02,2849000,18.7
eu,nsa,m,y_lt25,2002.03,2766000,18.3
eu,nsa,m,y_lt25,2002.04,2615000,17.3
eu,nsa,m,y_lt25,2002.05,2622000,17.2
eu,nsa,m,y_lt25,2002.06,2661000,17.2
eu,nsa,m,y_lt25,2002.07,2754000,17.4
eu,nsa,m,y_lt25,2002.08,2810000,17.7
eu,nsa,m,y_lt25,2002.09,2780000,17.6
eu,nsa,m,y_lt25,2002.10,2789000,18.2
eu,nsa,m,y_lt25,2002.11,2784000,18.3
eu,nsa,m,y_lt25,2002.12,2747000,18.2
eu,nsa,m,y_lt25,2003.01,2844000,19.2
eu,nsa,m,y_lt25,2003.02,2836000,19.2
eu,nsa,m,y_lt25,2003.03,2779000,18.8
eu,nsa,m,y_lt25,2003.04,2657000,17.9
eu,nsa,m,y_lt25,2003.05,2664000,17.8
eu,nsa,m,y_lt25,2003.06,2769000,18
eu,nsa,m,y_lt25,2003.07,2809000,18
eu,nsa,m,y_lt25,2003.08,2834000,18.1
eu,nsa,m,y_lt25,2003.09,2781000,17.9
eu,nsa,m,y_lt25,2003.10,2691000,17.9
eu,nsa,m,y_lt25,2003.11,2643000,17.7
eu,nsa,m,y_lt25,2003.12,2618000,17.7
eu,nsa,m,y_lt25,2004.01,2765000,18.7
eu,nsa,m,y_lt25,2004.02,2819000,19
eu,nsa,m,y_lt25,2004.03,2839000,19.1
eu,nsa,m,y_lt25,2004.04,2641000,18.1
eu,nsa,m,y_lt25,2004.05,2719000,18.2
eu,nsa,m,y_lt25,2004.06,2813000,18.4
eu,nsa,m,y_lt25,2004.07,2834000,18.2
eu,nsa,m,y_lt25,2004.08,2896000,18.4
eu,nsa,m,y_lt25,2004.09,2883000,18.5
eu,nsa,m,y_lt25,2004.10,2751000,18.1
eu,nsa,m,y_lt25,2004.11,2781000,18.5
eu,nsa,m,y_lt25,2004.12,2715000,18.2
eu,nsa,m,y_lt25,2005.01,2803000,19
eu,nsa,m,y_lt25,2005.02,2884000,19.5
eu,nsa,m,y_lt25,2005.03,2875000,19.4
eu,nsa,m,y_lt25,2005.04,2662000,18.3
eu,nsa,m,y_lt25,2005.05,2727000,18.5
eu,nsa,m,y_lt25,2005.06,2760000,18.2
eu,nsa,m,y_lt25,2005.07,2728000,17.8
eu,nsa,m,y_lt25,2005.08,2784000,18.1
eu,nsa,m,y_lt25,2005.09,2836000,18.4
eu,nsa,m,y_lt25,2005.10,2708000,18
eu,nsa,m,y_lt25,2005.11,2661000,17.9
eu,nsa,m,y_lt25,2005.12,2590000,17.7
eu,nsa,m,y_lt25,2006.01,2728000,18.8
eu,nsa,m,y_lt25,2006.02,2701000,18.6
eu,nsa,m,y_lt25,2006.03,2619000,18.1
eu,nsa,m,y_lt25,2006.04,2449000,17
eu,nsa,m,y_lt25,2006.05,2506000,17.1
eu,nsa,m,y_lt25,2006.06,2502000,16.6
eu,nsa,m,y_lt25,2006.07,2558000,16.5
eu,nsa,m,y_lt25,2006.08,2533000,16.4
eu,nsa,m,y_lt25,2006.09,2514000,16.4
eu,nsa,m,y_lt25,2006.10,2452000,16.4
eu,nsa,m,y_lt25,2006.11,2376000,16
eu,nsa,m,y_lt25,2006.12,2265000,15.5
eu,nsa,m,y_lt25,2007.01,2323000,16.1
eu,nsa,m,y_lt25,2007.02,2356000,16.3
eu,nsa,m,y_lt25,2007.03,2267000,15.8
eu,nsa,m,y_lt25,2007.04,2192000,15.2
eu,nsa,m,y_lt25,2007.05,2169000,14.9
eu,nsa,m,y_lt25,2007.06,2215000,14.8
eu,nsa,m,y_lt25,2007.07,2290000,15
eu,nsa,m,y_lt25,2007.08,2352000,15.3
eu,nsa,m,y_lt25,2007.09,2276000,15
eu,nsa,m,y_lt25,2007.10,2179000,14.7
eu,nsa,m,y_lt25,2007.11,2137000,14.5
eu,nsa,m,y_lt25,2007.12,2124000,14.6
eu,nsa,m,y_lt25,2008.01,2148000,14.9
eu,nsa,m,y_lt25,2008.02,2205000,15.3
eu,nsa,m,y_lt25,2008.03,2191000,15.3
eu,nsa,m,y_lt25,2008.04,2098000,14.6
eu,nsa,m,y_lt25,2008.05,2148000,14.8
eu,nsa,m,y_lt25,2008.06,2330000,15.6
eu,nsa,m,y_lt25,2008.07,2380000,15.6
eu,nsa,m,y_lt25,2008.08,2348000,15.4
eu,nsa,m,y_lt25,2008.09,2405000,15.9
eu,nsa,m,y_lt25,2008.10,2414000,16.3
eu,nsa,m,y_lt25,2008.11,2413000,16.5
eu,nsa,m,y_lt25,2008.12,2510000,17.4
eu,nsa,m,y_lt25,2009.01,2672000,18.9
eu,nsa,m,y_lt25,2009.02,2858000,20.1
eu,nsa,m,y_lt25,2009.03,2991000,21
eu,nsa,m,y_lt25,2009.04,2923000,20.7
eu,nsa,m,y_lt25,2009.05,2941000,20.6
eu,nsa,m,y_lt25,2009.06,2994000,20.8
