country,seasonality,sex,age_group,month,unemployment,unemployment_rate
at,nsa,f,y25-74,1999.09,58000,4.1
at,nsa,f,y25-74,1999.10,61000,4.2
at,nsa,f,y25-74,1999.11,67000,4.6
at,nsa,f,y25-74,1999.12,69000,4.8
at,nsa,f,y25-74,2000.01,67000,4.6
at,nsa,f,y25-74,2000.02,66000,4.5
at,nsa,f,y25-74,2000.03,64000,4.4
at,nsa,f,y25-74,2000.04,62000,4.3
at,nsa,f,y25-74,2000.05,60000,4.2
at,nsa,f,y25-74,2000.06,56000,3.8
at,nsa,f,y25-74,2000.07,52000,3.6
at,nsa,f,y25-74,2000.08,52000,3.6
at,nsa,f,y25-74,2000.09,52000,3.6
at,nsa,f,y25-74,2000.10,54000,3.7
at,nsa,f,y25-74,2000.11,60000,4.1
at,nsa,f,y25-74,2000.12,61000,4.2
at,nsa,f,y25-74,2001.01,59000,4.1
at,nsa,f,y25-74,2001.02,58000,4
at,nsa,f,y25-74,2001.03,56000,3.9
at,nsa,f,y25-74,2001.04,56000,3.8
at,nsa,f,y25-74,2001.05,56000,3.8
at,nsa,f,y25-74,2001.06,52000,3.6
at,nsa,f,y25-74,2001.07,51000,3.5
at,nsa,f,y25-74,2001.08,53000,3.6
at,nsa,f,y25-74,2001.09,54000,3.6
at,nsa,f,y25-74,2001.10,57000,3.8
at,nsa,f,y25-74,2001.11,64000,4.2
at,nsa,f,y25-74,2001.12,65000,4.3
at,nsa,f,y25-74,2002.01,64000,4.2
at,nsa,f,y25-74,2002.02,65000,4.3
at,nsa,f,y25-74,2002.03,64000,4.2
at,nsa,f,y25-74,2002.04,64000,4.2
at,nsa,f,y25-74,2002.05,63000,4.1
at,nsa,f,y25-74,2002.06,58000,3.8
at,nsa,f,y25-74,2002.07,56000,3.7
at,nsa,f,y25-74,2002.08,57000,3.8
at,nsa,f,y25-74,2002.09,57000,3.8
at,nsa,f,y25-74,2002.10,59000,3.9
at,nsa,f,y25-74,2002.11,64000,4.2
at,nsa,f,y25-74,2002.12,64000,4.2
at,nsa,f,y25-74,2003.01,62000,4.1
at,nsa,f,y25-74,2003.02,62000,4
at,nsa,f,y25-74,2003.03,60000,4
at,nsa,f,y25-74,2003.04,61000,4
at,nsa,f,y25-74,2003.05,60000,4
at,nsa,f,y25-74,2003.06,58000,3.8
at,nsa,f,y25-74,2003.07,56000,3.7
at,nsa,f,y25-74,2003.08,58000,3.8
at,nsa,f,y25-74,2003.09,58000,3.9
at,nsa,f,y25-74,2003.10,61000,4
at,nsa,f,y25-74,2003.11,66000,4.4
at,nsa,f,y25-74,2003.12,68000,4.5
at,nsa,f,y25-74,2004.01,66000,4.4
at,nsa,f,y25-74,2004.02,66000,4.4
at,nsa,f,y25-74,2004.03,67000,4.4
at,nsa,f,y25-74,2004.04,72000,4.8
at,nsa,f,y25-74,2004.05,70000,4.7
at,nsa,f,y25-74,2004.06,70000,4.6
at,nsa,f,y25-74,2004.07,70000,4.6
at,nsa,f,y25-74,2004.08,72000,4.7
at,nsa,f,y25-74,2004.09,69000,4.5
at,nsa,f,y25-74,2004.10,72000,4.7
at,nsa,f,y25-74,2004.11,76000,5
at,nsa,f,y25-74,2004.12,73000,4.8
at,nsa,f,y25-74,2005.01,76000,4.9
at,nsa,f,y25-74,2005.02,74000,4.8
at,nsa,f,y25-74,2005.03,73000,4.7
at,nsa,f,y25-74,2005.04,74000,4.7
at,nsa,f,y25-74,2005.05,68000,4.4
at,nsa,f,y25-74,2005.06,67000,4.3
at,nsa,f,y25-74,2005.07,72000,4.6
at,nsa,f,y25-74,2005.08,77000,4.9
at,nsa,f,y25-74,2005.09,73000,4.7
at,nsa,f,y25-74,2005.10,75000,4.8
at,nsa,f,y25-74,2005.11,76000,4.9
at,nsa,f,y25-74,2005.12,74000,4.7
at,nsa,f,y25-74,2006.01,76000,4.9
at,nsa,f,y25-74,2006.02,77000,4.8
at,nsa,f,y25-74,2006.03,77000,4.8
at,nsa,f,y25-74,2006.04,79000,4.9
at,nsa,f,y25-74,2006.05,74000,4.6
at,nsa,f,y25-74,2006.06,69000,4.3
at,nsa,f,y25-74,2006.07,67000,4.1
at,nsa,f,y25-74,2006.08,68000,4.2
at,nsa,f,y25-74,2006.09,64000,4
at,nsa,f,y25-74,2006.10,73000,4.5
at,nsa,f,y25-74,2006.11,78000,4.9
at,nsa,f,y25-74,2006.12,75000,4.7
at,nsa,f,y25-74,2007.01,76000,4.7
at,nsa,f,y25-74,2007.02,73000,4.5
at,nsa,f,y25-74,2007.03,71000,4.4
at,nsa,f,y25-74,2007.04,72000,4.4
at,nsa,f,y25-74,2007.05,68000,4.2
at,nsa,f,y25-74,2007.06,67000,4.1
at,nsa,f,y25-74,2007.07,74000,4.5
at,nsa,f,y25-74,2007.08,77000,4.7
at,nsa,f,y25-74,2007.09,68000,4.2
at,nsa,f,y25-74,2007.10,68000,4.1
at,nsa,f,y25-74,2007.11,65000,4
at,nsa,f,y25-74,2007.12,61000,3.8
at,nsa,f,y25-74,2008.01,64000,3.9
at,nsa,f,y25-74,2008.02,62000,3.8
at,nsa,f,y25-74,2008.03,59000,3.6
at,nsa,f,y25-74,2008.04,59000,3.5
at,nsa,f,y25-74,2008.05,52000,3.1
at,nsa,f,y25-74,2008.06,50000,3
at,nsa,f,y25-74,2008.07,54000,3.2
at,nsa,f,y25-74,2008.08,56000,3.4
at,nsa,f,y25-74,2008.09,53000,3.2
at,nsa,f,y25-74,2008.10,57000,3.4
at,nsa,f,y25-74,2008.11,59000,3.6
at,nsa,f,y25-74,2008.12,60000,3.6
at,nsa,f,y25-74,2009.01,62000,3.7
at,nsa,f,y25-74,2009.02,63000,3.7
at,nsa,f,y25-74,2009.03,63000,3.7
at,nsa,f,y25-74,2009.04,64000,3.8
at,nsa,f,y25-74,2009.05,60000,3.6
at,nsa,f,y25-74,2009.06,60000,3.6
at,nsa,f,y25-74,2009.07,66000,3.9
at,nsa,f,y25-74,2009.08,70000,4.1
at,nsa,f,y25-74,2009.09,65000,3.9
at,nsa,f,y25-74,2009.10,65000,3.8
at,nsa,f,y25-74,2009.11,63000,3.7
at,nsa,f,y25-74,2009.12,59000,3.5
at,nsa,f,y25-74,2010.01,58000,3.4
at,nsa,f,y25-74,2010.02,58000,3.4
at,nsa,f,y25-74,2010.03,59000,3.4
at,nsa,f,y25-74,2010.04,65000,3.8
at,nsa,f,y25-74,2010.05,61000,3.6
at,nsa,f,y25-74,2010.06,57000,3.4
at,nsa,f,y25-74,2010.07,56000,3.3
at,nsa,f,y25-74,2010.08,57000,3.3
at,nsa,f,y25-74,2010.09,54000,3.1
at,nsa,f,y25-74,2010.10,57000,3.3
at,nsa,f,y25-74,2010.11,60000,3.5
at,nsa,f,y25-74,2010.12,57000,3.3
at,nsa,f,y_lt25,1993.01,20000,7
at,nsa,f,y_lt25,1993.02,20000,6.9
at,nsa,f,y_lt25,1993.03,20000,6.9
at,nsa,f,y_lt25,1993.04,23000,7.9
at,nsa,f,y_lt25,1993.05,24000,8.2
at,nsa,f,y_lt25,1993.06,21000,7.1
at,nsa,f,y_lt25,1993.07,19000,6.6
at,nsa,f,y_lt25,1993.08,21000,7.2
at,nsa,f,y_lt25,1993.09,22000,7.6
at,nsa,f,y_lt25,1993.10,24000,8.3
at,nsa,f,y_lt25,1993.11,28000,9.3
at,nsa,f,y_lt25,1993.12,25000,8.3
at,nsa,f,y_lt25,1994.01,20000,7
at,nsa,f,y_lt25,1994.02,20000,6.8
at,nsa,f,y_lt25,1994.03,19000,6.5
at,nsa,f,y_lt25,1994.04,22000,7.3
at,nsa,f,y_lt25,1994.05,22000,7.6
at,nsa,f,y_lt25,1994.06,19000,6.4
at,nsa,f,y_lt25,1994.07,17000,6
at,nsa,f,y_lt25,1994.08,18000,6.3
at,nsa,f,y_lt25,1994.09,20000,6.7
at,nsa,f,y_lt25,1994.10,22000,7.6
at,nsa,f,y_lt25,1994.11,25000,8.5
at,nsa,f,y_lt25,1994.12,22000,7.6
at,nsa,f,y_lt25,1995.01,19000,6.4
at,nsa,f,y_lt25,1995.02,18000,6.3
at,nsa,f,y_lt25,1995.03,18000,6.3
at,nsa,f,y_lt25,1995.04,20000,7
at,nsa,f,y_lt25,1995.05,21000,7.1
at,nsa,f,y_lt25,1995.06,18000,6.3
at,nsa,f,y_lt25,1995.07,17000,5.9
at,nsa,f,y_lt25,1995.08,18000,6.3
at,nsa,f,y_lt25,1995.09,19000,6.8
at,nsa,f,y_lt25,1995.10,21000,7.6
at,nsa,f,y_lt25,1995.11,23000,8.3
at,nsa,f,y_lt25,1995.12,21000,7.6
at,nsa,f,y_lt25,1996.01,18000,6.7
at,nsa,f,y_lt25,1996.02,18000,6.6
at,nsa,f,y_lt25,1996.03,18000,6.5
at,nsa,f,y_lt25,1996.04,20000,7.2
at,nsa,f,y_lt25,1996.05,20000,7.4
at,nsa,f,y_lt25,1996.06,18000,6.6
at,nsa,f,y_lt25,1996.07,17000,6.5
at,nsa,f,y_lt25,1996.08,19000,7.1
at,nsa,f,y_lt25,1996.09,20000,7.6
at,nsa,f,y_lt25,1996.10,22000,8.4
at,nsa,f,y_lt25,1996.11,24000,9.1
at,nsa,f,y_lt25,1996.12,23000,8.6
at,nsa,f,y_lt25,1997.01,20000,7.7
at,nsa,f,y_lt25,1997.02,19000,7.4
at,nsa,f,y_lt25,1997.03,19000,7.2
at,nsa,f,y_lt25,1997.04,20000,7.8
at,nsa,f,y_lt25,1997.05,21000,7.9
at,nsa,f,y_lt25,1997.06,19000,7.2
at,nsa,f,y_lt25,1997.07,19000,7.2
at,nsa,f,y_lt25,1997.08,20000,7.7
at,nsa,f,y_lt25,1997.09,21000,8
at,nsa,f,y_lt25,1997.10,23000,8.8
at,nsa,f,y_lt25,1997.11,25000,9.5
at,nsa,f,y_lt25,1997.12,23000,8.8
at,nsa,f,y_lt25,1998.01,21000,8
at,nsa,f,y_lt25,1998.02,20000,7.7
at,nsa,f,y_lt25,1998.03,20000,7.7
at,nsa,f,y_lt25,1998.04,21000,8.2
at,nsa,f,y_lt25,1998.05,21000,8.2
at,nsa,f,y_lt25,1998.06,19000,7.5
at,nsa,f,y_lt25,1998.07,19000,7.3
at,nsa,f,y_lt25,1998.08,19000,7.5
at,nsa,f,y_lt25,1998.09,20000,7.8
at,nsa,f,y_lt25,1998.10,22000,8.4
at,nsa,f,y_lt25,1998.11,23000,8.8
at,nsa,f,y_lt25,1998.12,21000,8
at,nsa,f,y_lt25,1999.01,18000,7
at,nsa,f,y_lt25,1999.02,17000,6.6
at,nsa,f,y_lt25,1999.03,16000,6.4
at,nsa,f,y_lt25,1999.04,17000,6.9
at,nsa,f,y_lt25,1999.05,17000,6.8
at,nsa,f,y_lt25,1999.06,15000,6
at,nsa,f,y_lt25,1999.07,14000,5.8
at,nsa,f,y_lt25,1999.08,15000,6.2
at,nsa,f,y_lt25,1999.09,16000,6.5
at,nsa,f,y_lt25,1999.10,17000,6.8
at,nsa,f,y_lt25,1999.11,18000,7.3
at,nsa,f,y_lt25,1999.12,17000,6.9
at,nsa,f,y_lt25,2000.01,14000,6.1
at,nsa,f,y_lt25,2000.02,14000,5.8
at,nsa,f,y_lt25,2000.03,13000,5.5
at,nsa,f,y_lt25,2000.04,13000,5.6
at,nsa,f,y_lt25,2000.05,14000,5.8
at,nsa,f,y_lt25,2000.06,13000,5.4
at,nsa,f,y_lt25,2000.07,12000,5.2
at,nsa,f,y_lt25,2000.08,13000,5.7
at,nsa,f,y_lt25,2000.09,14000,6
at,nsa,f,y_lt25,2000.10,15000,6.5
at,nsa,f,y_lt25,2000.11,17000,7.1
at,nsa,f,y_lt25,2000.12,16000,6.9
at,nsa,f,y_lt25,2001.01,14000,6.2
at,nsa,f,y_lt25,2001.02,14000,5.9
at,nsa,f,y_lt25,2001.03,13000,5.7
at,nsa,f,y_lt25,2001.04,14000,6.1
at,nsa,f,y_lt25,2001.05,15000,6.3
at,nsa,f,y_lt25,2001.06,13000,5.8
at,nsa,f,y_lt25,2001.07,14000,5.8
at,nsa,f,y_lt25,2001.08,15000,6.4
at,nsa,f,y_lt25,2001.09,16000,6.9
at,nsa,f,y_lt25,2001.10,18000,7.4
at,nsa,f,y_lt25,2001.11,19000,7.9
at,nsa,f,y_lt25,2001.12,18000,7.5
at,nsa,f,y_lt25,2002.01,16000,6.8
at,nsa,f,y_lt25,2002.02,16000,6.8
at,nsa,f,y_lt25,2002.03,16000,6.6
at,nsa,f,y_lt25,2002.04,17000,7
at,nsa,f,y_lt25,2002.05,17000,7.1
at,nsa,f,y_lt25,2002.06,15000,6.4
at,nsa,f,y_lt25,2002.07,15000,6.4
at,nsa,f,y_lt25,2002.08,17000,7
at,nsa,f,y_lt25,2002.09,17000,7.4
at,nsa,f,y_lt25,2002.10,18000,7.7
at,nsa,f,y_lt25,2002.11,19000,8.1
at,nsa,f,y_lt25,2002.12,18000,7.6
at,nsa,f,y_lt25,2003.01,16000,6.9
at,nsa,f,y_lt25,2003.02,16000,6.9
at,nsa,f,y_lt25,2003.03,16000,6.8
at,nsa,f,y_lt25,2003.04,17000,7.3
at,nsa,f,y_lt25,2003.05,18000,7.8
at,nsa,f,y_lt25,2003.06,18000,7.8
at,nsa,f,y_lt25,2003.07,20000,8.3
at,nsa,f,y_lt25,2003.08,22000,9.4
at,nsa,f,y_lt25,2003.09,25000,10.3
at,nsa,f,y_lt25,2003.10,28000,11.2
at,nsa,f,y_lt25,2003.11,30000,12.1
at,nsa,f,y_lt25,2003.12,29000,11.8
at,nsa,f,y_lt25,2004.01,27000,11
at,nsa,f,y_lt25,2004.02,26000,10.6
at,nsa,f,y_lt25,2004.03,25000,10.3
at,nsa,f,y_lt25,2004.04,26000,10.5
at,nsa,f,y_lt25,2004.05,23000,9.1
at,nsa,f,y_lt25,2004.06,22000,8.6
at,nsa,f,y_lt25,2004.07,27000,10.2
at,nsa,f,y_lt25,2004.08,31000,11.4
at,nsa,f,y_lt25,2004.09,31000,11.4
at,nsa,f,y_lt25,2004.10,29000,10.9
at,nsa,f,y_lt25,2004.11,26000,9.9
at,nsa,f,y_lt25,2004.12,21000,8
at,nsa,f,y_lt25,2005.01,20000,7.5
at,nsa,f,y_lt25,2005.02,20000,7.4
at,nsa,f,y_lt25,2005.03,22000,8.1
at,nsa,f,y_lt25,2005.04,29000,11
at,nsa,f,y_lt25,2005.05,28000,10.7
at,nsa,f,y_lt25,2005.06,28000,10.7
at,nsa,f,y_lt25,2005.07,32000,11.3
at,nsa,f,y_lt25,2005.08,34000,11.8
at,nsa,f,y_lt25,2005.09,32000,11.2
at,nsa,f,y_lt25,2005.10,28000,10
at,nsa,f,y_lt25,2005.11,26000,9.6
at,nsa,f,y_lt25,2005.12,24000,8.9
at,nsa,f,y_lt25,2006.01,27000,10.1
at,nsa,f,y_lt25,2006.02,27000,10.1
at,nsa,f,y_lt25,2006.03,26000,10
at,nsa,f,y_lt25,2006.04,26000,10.1
at,nsa,f,y_lt25,2006.05,24000,9.2
at,nsa,f,y_lt25,2006.06,24000,8.9
at,nsa,f,y_lt25,2006.07,28000,10
at,nsa,f,y_lt25,2006.08,31000,10.5
at,nsa,f,y_lt25,2006.09,28000,9.7
at,nsa,f,y_lt25,2006.10,24000,8.7
at,nsa,f,y_lt25,2006.11,21000,7.8
at,nsa,f,y_lt25,2006.12,18000,6.7
at,nsa,f,y_lt25,2007.01,20000,7.1
at,nsa,f,y_lt25,2007.02,21000,7.4
at,nsa,f,y_lt25,2007.03,23000,8.2
at,nsa,f,y_lt25,2007.04,29000,10.5
at,nsa,f,y_lt25,2007.05,27000,10
at,nsa,f,y_lt25,2007.06,28000,9.9
at,nsa,f,y_lt25,2007.07,32000,10.6
at,nsa,f,y_lt25,2007.08,34000,11
at,nsa,f,y_lt25,2007.09,30000,10
at,nsa,f,y_lt25,2007.10,26000,9.1
at,nsa,f,y_lt25,2007.11,22000,8.2
at,nsa,f,y_lt25,2007.12,19000,7.1
at,nsa,f,y_lt25,2008.01,21000,7.4
at,nsa,f,y_lt25,2008.02,20000,7.2
at,nsa,f,y_lt25,2008.03,20000,7.1
at,nsa,f,y_lt25,2008.04,21000,7.8
at,nsa,f,y_lt25,2008.05,18000,6.8
at,nsa,f,y_lt25,2008.06,19000,7.1
at,nsa,f,y_lt25,2008.07,23000,7.9
at,nsa,f,y_lt25,2008.08,27000,9
at,nsa,f,y_lt25,2008.09,28000,9.4
at,nsa,f,y_lt25,2008.10,30000,10
at,nsa,f,y_lt25,2008.11,29000,9.9
at,nsa,f,y_lt25,2008.12,25000,8.7
at,nsa,f,y_lt25,2009.01,22000,7.8
at,nsa,f,y_lt25,2009.02,21000,7.4
at,nsa,f,y_lt25,2009.03,21000,7.7
at,nsa,f,y_lt25,2009.04,26000,9.2
at,nsa,f,y_lt25,2009.05,26000,9.3
at,nsa,f,y_lt25,2009.06,27000,9.6
at,nsa,f,y_lt25,2009.07,33000,11.1
at,nsa,f,y_lt25,2009.08,37000,12.1
at,nsa,f,y_lt25,2009.09,34000,11.4
at,nsa,f,y_lt25,2009.10,28000,9.9
at,nsa,f,y_lt25,2009.11,24000,8.8
at,nsa,f,y_lt25,2009.12,21000,8
at,nsa,f,y_lt25,2010.01,23000,8.6
at,nsa,f,y_lt25,2010.02,23000,8.7
at,nsa,f,y_lt25,2010.03,22000,8.4
at,nsa,f,y_lt25,2010.04,23000,9
at,nsa,f,y_lt25,2010.05,21000,8.1
at,nsa,f,y_lt25,2010.06,21000,8.1
at,nsa,f,y_lt25,2010.07,25000,9
at,nsa,f,y_lt25,2010.08,29000,10.2
at,nsa,f,y_lt25,2010.09,30000,10.3
at,nsa,f,y_lt25,2010.10,30000,10.6
at,nsa,f,y_lt25,2010.11,29000,10.5
at,nsa,f,y_lt25,2010.12,25000,9.4
at,nsa,m,y25-74,1993.01,67000,3.6
at,nsa,m,y25-74,1993.02,71000,3.8
at,nsa,m,y25-74,1993.03,64000,3.5
at,nsa,m,y25-74,1993.04,53000,2.9
at,nsa,m,y25-74,1993.05,45000,2.5
at,nsa,m,y25-74,1993.06,41000,2.3
at,nsa,m,y25-74,1993.07,40000,2.2
at,nsa,m,y25-74,1993.08,39000,2.2
at,nsa,m,y25-74,1993.09,39000,2.2
at,nsa,m,y25-74,1993.10,41000,2.3
at,nsa,m,y25-74,1993.11,46000,2.5
at,nsa,m,y25-74,1993.12,58000,3.2
at,nsa,m,y25-74,1994.01,72000,3.9
at,nsa,m,y25-74,1994.02,73000,4
at,nsa,m,y25-74,1994.03,63000,3.5
at,nsa,m,y25-74,1994.04,51000,2.8
at,nsa,m,y25-74,1994.05,45000,2.5
at,nsa,m,y25-74,1994.06,40000,2.2
at,nsa,m,y25-74,1994.07,38000,2.1
at,nsa,m,y25-74,1994.08,37000,2
at,nsa,m,y25-74,1994.09,37000,2
at,nsa,m,y25-74,1994.10,39000,2.1
at,nsa,m,y25-74,1994.11,42000,2.3
at,nsa,m,y25-74,1994.12,54000,2.9
at,nsa,m,y25-74,1995.01,69000,3.7
at,nsa,m,y25-74,1995.02,72000,3.9
at,nsa,m,y25-74,1995.03,62000,3.4
at,nsa,m,y25-74,1995.04,51000,2.8
at,nsa,m,y25-74,1995.05,45000,2.5
at,nsa,m,y25-74,1995.06,41000,2.3
at,nsa,m,y25-74,1995.07,39000,2.2
at,nsa,m,y25-74,1995.08,40000,2.2
at,nsa,m,y25-74,1995.09,41000,2.3
at,nsa,m,y25-74,1995.10,43000,2.4
at,nsa,m,y25-74,1995.11,50000,2.8
at,nsa,m,y25-74,1995.12,67000,3.7
at,nsa,m,y25-74,1996.01,86000,4.7
at,nsa,m,y25-74,1996.02,94000,5.1
at,nsa,m,y25-74,1996.03,87000,4.7
at,nsa,m,y25-74,1996.04,71000,3.9
at,nsa,m,y25-74,1996.05,57000,3.1
at,nsa,m,y25-74,1996.06,49000,2.7
at,nsa,m,y25-74,1996.07,45000,2.5
at,nsa,m,y25-74,1996.08,44000,2.4
at,nsa,m,y25-74,1996.09,44000,2.4
at,nsa,m,y25-74,1996.10,46000,2.5
at,nsa,m,y25-74,1996.11,51000,2.8
at,nsa,m,y25-74,1996.12,61000,3.3
at,nsa,m,y25-74,1997.01,78000,4.3
at,nsa,m,y25-74,1997.02,86000,4.6
at,nsa,m,y25-74,1997.03,76000,4.1
at,nsa,m,y25-74,1997.04,62000,3.4
at,nsa,m,y25-74,1997.05,54000,3
at,nsa,m,y25-74,1997.06,49000,2.7
at,nsa,m,y25-74,1997.07,47000,2.6
at,nsa,m,y25-74,1997.08,47000,2.6
at,nsa,m,y25-74,1997.09,47000,2.6
at,nsa,m,y25-74,1997.10,50000,2.8
at,nsa,m,y25-74,1997.11,57000,3.1
at,nsa,m,y25-74,1997.12,70000,3.8
at,nsa,m,y25-74,1998.01,89000,4.8
at,nsa,m,y25-74,1998.02,98000,5.3
at,nsa,m,y25-74,1998.03,88000,4.8
at,nsa,m,y25-74,1998.04,72000,3.9
at,nsa,m,y25-74,1998.05,61000,3.4
at,nsa,m,y25-74,1998.06,55000,3
at,nsa,m,y25-74,1998.07,51000,2.8
at,nsa,m,y25-74,1998.08,49000,2.7
at,nsa,m,y25-74,1998.09,49000,2.7
at,nsa,m,y25-74,1998.10,51000,2.8
at,nsa,m,y25-74,1998.11,55000,3
at,nsa,m,y25-74,1998.12,67000,3.6
at,nsa,m,y25-74,1999.01,83000,4.4
at,nsa,m,y25-74,1999.02,90000,4.8
at,nsa,m,y25-74,1999.03,80000,4.3
at,nsa,m,y25-74,1999.04,63000,3.4
at,nsa,m,y25-74,1999.05,53000,2.9
at,nsa,m,y25-74,1999.06,47000,2.6
at,nsa,m,y25-74,1999.07,44000,2.4
at,nsa,m,y25-74,1999.08,43000,2.4
at,nsa,m,y25-74,1999.09,43000,2.4
at,nsa,m,y25-74,1999.10,45000,2.5
at,nsa,m,y25-74,1999.11,51000,2.8
at,nsa,m,y25-74,1999.12,63000,3.4
at,nsa,m,y25-74,2000.01,81000,4.3
at,nsa,m,y25-74,2000.02,89000,4.7
at,nsa,m,y25-74,2000.03,77000,4.1
at,nsa,m,y25-74,2000.04,59000,3.2
at,nsa,m,y25-74,2000.05,48000,2.6
at,nsa,m,y25-74,2000.06,41000,2.3
at,nsa,m,y25-74,2000.07,38000,2.1
at,nsa,m,y25-74,2000.08,36000,2
at,nsa,m,y25-74,2000.09,35000,1.9
at,nsa,m,y25-74,2000.10,36000,2
at,nsa,m,y25-74,2000.11,41000,2.2
at,nsa,m,y25-74,2000.12,50000,2.7
at,nsa,m,y25-74,2001.01,66000,3.5
at,nsa,m,y25-74,2001.02,73000,3.9
at,nsa,m,y25-74,2001.03,64000,3.4
at,nsa,m,y25-74,2001.04,51000,2.8
at,nsa,m,y25-74,2001.05,44000,2.4
at,nsa,m,y25-74,2001.06,40000,2.2
at,nsa,m,y25-74,2001.07,39000,2.1
at,nsa,m,y25-74,2001.08,40000,2.2
at,nsa,m,y25-74,2001.09,42000,2.3
at,nsa,m,y25-74,2001.10,45000,2.5
at,nsa,m,y25-74,2001.11,53000,2.9
at,nsa,m,y25-74,2001.12,71000,3.8
at,nsa,m,y25-74,2002.01,92000,4.9
at,nsa,m,y25-74,2002.02,98000,5.2
at,nsa,m,y25-74,2002.03,87000,4.7
at,nsa,m,y25-74,2002.04,71000,3.8
at,nsa,m,y25-74,2002.05,61000,3.3
at,nsa,m,y25-74,2002.06,55000,3
at,nsa,m,y25-74,2002.07,52000,2.8
at,nsa,m,y25-74,2002.08,51000,2.8
at,nsa,m,y25-74,2002.09,52000,2.8
at,nsa,m,y25-74,2002.10,53000,2.9
at,nsa,m,y25-74,2002.11,59000,3.1
at,nsa,m,y25-74,2002.12,75000,4
at,nsa,m,y25-74,2003.01,94000,4.9
