country_group,seasonality,month,unemployment,unemployment_rate
eu,trend,2001.06,19217000,8.5
eu,trend,2001.07,19227000,8.5
eu,trend,2001.08,19268000,8.5
eu,trend,2001.09,19338000,8.5
eu,trend,2001.10,19472000,8.6
eu,trend,2001.11,19592000,8.6
eu,trend,2001.12,19675000,8.7
eu,trend,2002.01,19748000,8.7
eu,trend,2002.02,19788000,8.7
eu,trend,2002.03,19862000,8.7
eu,trend,2002.04,20051000,8.8
eu,trend,2002.05,20185000,8.9
eu,trend,2002.06,20306000,8.9
eu,trend,2002.07,20376000,9
eu,trend,2002.08,20465000,9
eu,trend,2002.09,20528000,9
eu,trend,2002.10,20525000,9
eu,trend,2002.11,20560000,9
eu,trend,2002.12,20546000,9
eu,trend,2003.01,20566000,9
eu,trend,2003.02,20596000,9
eu,trend,2003.03,20611000,9
eu,trend,2003.04,20608000,9
eu,trend,2003.05,20618000,9
eu,trend,2003.06,20664000,9
eu,trend,2003.07,20653000,9
eu,trend,2003.08,20647000,9
eu,trend,2003.09,20645000,9
eu,trend,2003.10,20682000,9
eu,trend,2003.11,20711000,9
eu,trend,2003.12,20773000,9
eu,trend,2004.01,20866000,9.1
eu,trend,2004.02,20869000,9.1
eu,trend,2004.03,20944000,9.1
eu,trend,2004.04,20967000,9.1
eu,trend,2004.05,20972000,9.1
eu,trend,2004.06,20930000,9.1
eu,trend,2004.07,20941000,9.1
eu,trend,2004.08,20907000,9
eu,trend,2004.09,20945000,9
eu,trend,2004.10,20950000,9
eu,trend,2004.11,20997000,9
eu,trend,2004.12,21034000,9
eu,trend,2005.01,20890000,9
eu,trend,2005.02,20949000,9
eu,trend,2005.03,21034000,9
eu,trend,2005.04,20960000,9
eu,trend,2005.05,20901000,9
eu,trend,2005.06,20876000,8.9
eu,trend,2005.07,20694000,8.9
eu,trend,2005.08,20642000,8.8
eu,trend,2005.09,20671000,8.8
eu,trend,2005.10,20642000,8.8
eu,trend,2005.11,20525000,8.8
eu,trend,2005.12,20342000,8.7
eu,trend,2006.01,20229000,8.6
eu,trend,2006.02,20117000,8.6
eu,trend,2006.03,19963000,8.5
eu,trend,2006.04,19781000,8.4
eu,trend,2006.05,19591000,8.3
eu,trend,2006.06,19343000,8.2
eu,trend,2006.07,19133000,8.1
eu,trend,2006.08,19021000,8.1
eu,trend,2006.09,18838000,8
eu,trend,2006.10,18625000,7.9
eu,trend,2006.11,18431000,7.8
eu,trend,2006.12,18163000,7.7
eu,trend,2007.01,17871000,7.6
eu,trend,2007.02,17606000,7.4
eu,trend,2007.03,17352000,7.3
eu,trend,2007.04,17097000,7.2
eu,trend,2007.05,17055000,7.2
eu,trend,2007.06,16919000,7.1
eu,trend,2007.07,16999000,7.2
eu,trend,2007.08,16887000,7.1
eu,trend,2007.09,16758000,7
eu,trend,2007.10,16605000,7
eu,trend,2007.11,16465000,6.9
eu,trend,2007.12,16498000,6.9
eu,trend,2008.01,16270000,6.8
eu,trend,2008.02,16097000,6.7
eu,trend,2008.03,16034000,6.7
eu,trend,2008.04,16281000,6.8
eu,trend,2008.05,16435000,6.9
eu,trend,2008.06,16653000,7
eu,trend,2008.07,16772000,7
eu,trend,2008.08,16979000,7.1
eu,trend,2008.09,17170000,7.2
eu,trend,2008.10,17531000,7.3
eu,trend,2008.11,17949000,7.5
eu,trend,2008.12,18440000,7.7
eu,trend,2009.01,19156000,8
eu,trend,2009.02,19819000,8.2
eu,trend,2009.03,20548000,8.5
eu,trend,2009.04,20955000,8.7
eu,trend,2009.05,21287000,8.8
eu,trend,2009.06,21571000,9
eu,trend,2009.07,21918000,9.1
eu,trend,2009.08,22112000,9.2
eu,trend,2009.09,22393000,9.3
eu,trend,2009.10,22504000,9.4
eu,trend,2009.11,22625000,9.4
eu,trend,2009.12,22732000,9.5
eu,trend,2010.01,22931000,9.5
eu,trend,2010.02,23054000,9.6
eu,trend,2010.03,23079000,9.6
eu,trend,2010.04,23117000,9.6
eu,trend,2010.05,23143000,9.6
eu,trend,2010.06,23111000,9.6
eu,trend,2010.07,23118000,9.6
eu,trend,2010.08,23112000,9.6
eu,trend,2010.09,23150000,9.6
eu,trend,2010.10,23239000,9.6
eu,trend,2010.11,23181000,9.6
eu,trend,2010.12,23161000,9.6
