country,seasonality,age_group,month,unemployment,unemployment_rate
at,nsa,y25-74,2006.03,161000,4.6
at,nsa,y25-74,2006.04,154000,4.4
at,nsa,y25-74,2006.05,146000,4.1
at,nsa,y25-74,2006.06,134000,3.8
at,nsa,y25-74,2006.07,126000,3.5
at,nsa,y25-74,2006.08,123000,3.4
at,nsa,y25-74,2006.09,116000,3.3
at,nsa,y25-74,2006.10,126000,3.5
at,nsa,y25-74,2006.11,133000,3.8
at,nsa,y25-74,2006.12,150000,4.2
at,nsa,y25-74,2007.01,150000,4.3
at,nsa,y25-74,2007.02,145000,4.1
at,nsa,y25-74,2007.03,137000,3.8
at,nsa,y25-74,2007.04,139000,3.9
at,nsa,y25-74,2007.05,135000,3.7
at,nsa,y25-74,2007.06,131000,3.6
at,nsa,y25-74,2007.07,135000,3.7
at,nsa,y25-74,2007.08,136000,3.7
at,nsa,y25-74,2007.09,122000,3.4
at,nsa,y25-74,2007.10,119000,3.3
at,nsa,y25-74,2007.11,119000,3.3
at,nsa,y25-74,2007.12,133000,3.7
at,nsa,y25-74,2008.01,138000,3.8
at,nsa,y25-74,2008.02,130000,3.6
at,nsa,y25-74,2008.03,115000,3.2
at,nsa,y25-74,2008.04,113000,3.1
at,nsa,y25-74,2008.05,104000,2.8
at,nsa,y25-74,2008.06,101000,2.8
at,nsa,y25-74,2008.07,109000,3
at,nsa,y25-74,2008.08,111000,3
at,nsa,y25-74,2008.09,104000,2.9
at,nsa,y25-74,2008.10,105000,2.9
at,nsa,y25-74,2008.11,108000,3
at,nsa,y25-74,2008.12,128000,3.5
at,nsa,y25-74,2009.01,139000,3.9
at,nsa,y25-74,2009.02,147000,4.1
at,nsa,y25-74,2009.03,141000,3.9
at,nsa,y25-74,2009.04,141000,3.9
at,nsa,y25-74,2009.05,139000,3.8
at,nsa,y25-74,2009.06,141000,3.8
at,nsa,y25-74,2009.07,150000,4.1
at,nsa,y25-74,2009.08,155000,4.2
at,nsa,y25-74,2009.09,146000,4
at,nsa,y25-74,2009.10,142000,3.8
at,nsa,y25-74,2009.11,138000,3.8
at,nsa,y25-74,2009.12,156000,4.2
at,nsa,y25-74,2010.01,150000,4.1
at,nsa,y25-74,2010.02,147000,4
at,nsa,y25-74,2010.03,136000,3.7
at,nsa,y25-74,2010.04,142000,3.9
at,nsa,y25-74,2010.05,139000,3.8
at,nsa,y25-74,2010.06,134000,3.6
at,nsa,y25-74,2010.07,132000,3.5
at,nsa,y25-74,2010.08,134000,3.6
at,nsa,y25-74,2010.09,131000,3.5
at,nsa,y25-74,2010.10,135000,3.6
at,nsa,y25-74,2010.11,141000,3.8
at,nsa,y25-74,2010.12,169000,4.5
at,nsa,y_lt25,1993.01,43000,7
at,nsa,y_lt25,1993.02,43000,6.9
at,nsa,y_lt25,1993.03,41000,6.6
at,nsa,y_lt25,1993.04,41000,6.6
at,nsa,y_lt25,1993.05,39000,6.4
at,nsa,y_lt25,1993.06,34000,5.5
at,nsa,y_lt25,1993.07,31000,5.1
at,nsa,y_lt25,1993.08,33000,5.4
at,nsa,y_lt25,1993.09,35000,5.7
at,nsa,y_lt25,1993.10,38000,6.2
at,nsa,y_lt25,1993.11,42000,6.9
at,nsa,y_lt25,1993.12,44000,7.1
at,nsa,y_lt25,1994.01,43000,7
at,nsa,y_lt25,1994.02,41000,6.8
at,nsa,y_lt25,1994.03,37000,6.1
at,nsa,y_lt25,1994.04,37000,6
at,nsa,y_lt25,1994.05,35000,5.8
at,nsa,y_lt25,1994.06,29000,4.9
at,nsa,y_lt25,1994.07,27000,4.5
at,nsa,y_lt25,1994.08,28000,4.7
at,nsa,y_lt25,1994.09,30000,5.1
at,nsa,y_lt25,1994.10,34000,5.6
at,nsa,y_lt25,1994.11,37000,6.1
at,nsa,y_lt25,1994.12,38000,6.3
at,nsa,y_lt25,1995.01,39000,6.3
at,nsa,y_lt25,1995.02,38000,6.2
at,nsa,y_lt25,1995.03,35000,5.8
at,nsa,y_lt25,1995.04,34000,5.6
at,nsa,y_lt25,1995.05,32000,5.4
at,nsa,y_lt25,1995.06,28000,4.8
at,nsa,y_lt25,1995.07,26000,4.5
at,nsa,y_lt25,1995.08,28000,4.7
at,nsa,y_lt25,1995.09,30000,5.2
at,nsa,y_lt25,1995.10,33000,5.7
at,nsa,y_lt25,1995.11,37000,6.3
at,nsa,y_lt25,1995.12,39000,6.7
at,nsa,y_lt25,1996.01,40000,6.9
at,nsa,y_lt25,1996.02,40000,7
at,nsa,y_lt25,1996.03,38000,6.7
at,nsa,y_lt25,1996.04,37000,6.5
at,nsa,y_lt25,1996.05,34000,6
at,nsa,y_lt25,1996.06,29000,5.3
at,nsa,y_lt25,1996.07,28000,5.1
at,nsa,y_lt25,1996.08,30000,5.4
at,nsa,y_lt25,1996.09,32000,5.8
at,nsa,y_lt25,1996.10,35000,6.4
at,nsa,y_lt25,1996.11,38000,7
at,nsa,y_lt25,1996.12,40000,7.3
at,nsa,y_lt25,1997.01,42000,7.6
at,nsa,y_lt25,1997.02,42000,7.7
at,nsa,y_lt25,1997.03,39000,7.1
at,nsa,y_lt25,1997.04,37000,6.8
at,nsa,y_lt25,1997.05,35000,6.4
at,nsa,y_lt25,1997.06,31000,5.7
at,nsa,y_lt25,1997.07,30000,5.6
at,nsa,y_lt25,1997.08,31000,5.8
at,nsa,y_lt25,1997.09,32000,6.1
at,nsa,y_lt25,1997.10,35000,6.6
at,nsa,y_lt25,1997.11,39000,7.2
at,nsa,y_lt25,1997.12,40000,7.5
at,nsa,y_lt25,1998.01,42000,7.8
at,nsa,y_lt25,1998.02,42000,7.8
at,nsa,y_lt25,1998.03,39000,7.3
at,nsa,y_lt25,1998.04,37000,6.8
at,nsa,y_lt25,1998.05,34000,6.3
at,nsa,y_lt25,1998.06,30000,5.7
at,nsa,y_lt25,1998.07,29000,5.4
at,nsa,y_lt25,1998.08,29000,5.4
at,nsa,y_lt25,1998.09,30000,5.6
at,nsa,y_lt25,1998.10,32000,6
at,nsa,y_lt25,1998.11,34000,6.3
at,nsa,y_lt25,1998.12,35000,6.4
at,nsa,y_lt25,1999.01,35000,6.5
at,nsa,y_lt25,1999.02,34000,6.4
at,nsa,y_lt25,1999.03,31000,5.8
at,nsa,y_lt25,1999.04,29000,5.5
at,nsa,y_lt25,1999.05,27000,5.1
at,nsa,y_lt25,1999.06,23000,4.4
at,nsa,y_lt25,1999.07,23000,4.3
at,nsa,y_lt25,1999.08,24000,4.6
at,nsa,y_lt25,1999.09,25000,4.8
at,nsa,y_lt25,1999.10,27000,5.2
at,nsa,y_lt25,1999.11,30000,5.7
at,nsa,y_lt25,1999.12,32000,6.1
at,nsa,y_lt25,2000.01,34000,6.6
at,nsa,y_lt25,2000.02,35000,6.7
at,nsa,y_lt25,2000.03,31000,6
at,nsa,y_lt25,2000.04,27000,5.3
at,nsa,y_lt25,2000.05,25000,4.9
at,nsa,y_lt25,2000.06,22000,4.4
at,nsa,y_lt25,2000.07,21000,4.2
at,nsa,y_lt25,2000.08,22000,4.4
at,nsa,y_lt25,2000.09,23000,4.7
at,nsa,y_lt25,2000.10,25000,5
at,nsa,y_lt25,2000.11,28000,5.6
at,nsa,y_lt25,2000.12,30000,5.9
at,nsa,y_lt25,2001.01,32000,6.4
at,nsa,y_lt25,2001.02,33000,6.5
at,nsa,y_lt25,2001.03,29000,5.9
at,nsa,y_lt25,2001.04,27000,5.5
at,nsa,y_lt25,2001.05,26000,5.3
at,nsa,y_lt25,2001.06,24000,4.8
at,nsa,y_lt25,2001.07,24000,4.8
at,nsa,y_lt25,2001.08,26000,5.1
at,nsa,y_lt25,2001.09,28000,5.5
at,nsa,y_lt25,2001.10,30000,6
at,nsa,y_lt25,2001.11,34000,6.6
at,nsa,y_lt25,2001.12,37000,7.2
at,nsa,y_lt25,2002.01,40000,7.7
at,nsa,y_lt25,2002.02,40000,7.7
at,nsa,y_lt25,2002.03,37000,7.1
at,nsa,y_lt25,2002.04,35000,6.8
at,nsa,y_lt25,2002.05,32000,6.3
at,nsa,y_lt25,2002.06,29000,5.7
at,nsa,y_lt25,2002.07,28000,5.6
at,nsa,y_lt25,2002.08,30000,5.9
at,nsa,y_lt25,2002.09,32000,6.3
at,nsa,y_lt25,2002.10,34000,6.6
at,nsa,y_lt25,2002.11,36000,7
at,nsa,y_lt25,2002.12,39000,7.5
at,nsa,y_lt25,2003.01,41000,8
at,nsa,y_lt25,2003.02,41000,7.9
at,nsa,y_lt25,2003.03,37000,7.3
at,nsa,y_lt25,2003.04,35000,6.9
at,nsa,y_lt25,2003.05,35000,6.9
at,nsa,y_lt25,2003.06,35000,6.8
at,nsa,y_lt25,2003.07,35000,7
at,nsa,y_lt25,2003.08,39000,7.6
at,nsa,y_lt25,2003.09,43000,8.3
at,nsa,y_lt25,2003.10,47000,9.1
at,nsa,y_lt25,2003.11,52000,9.9
at,nsa,y_lt25,2003.12,58000,10.9
at,nsa,y_lt25,2004.01,61000,11.5
at,nsa,y_lt25,2004.02,59000,11.1
at,nsa,y_lt25,2004.03,54000,10.2
at,nsa,y_lt25,2004.04,50000,9.5
at,nsa,y_lt25,2004.05,45000,8.4
at,nsa,y_lt25,2004.06,44000,8
at,nsa,y_lt25,2004.07,50000,8.8
at,nsa,y_lt25,2004.08,56000,9.6
at,nsa,y_lt25,2004.09,58000,9.9
at,nsa,y_lt25,2004.10,55000,9.7
at,nsa,y_lt25,2004.11,54000,9.5
at,nsa,y_lt25,2004.12,57000,10.1
at,nsa,y_lt25,2005.01,52000,9.2
at,nsa,y_lt25,2005.02,51000,9
at,nsa,y_lt25,2005.03,53000,9.3
at,nsa,y_lt25,2005.04,62000,11
at,nsa,y_lt25,2005.05,61000,10.9
at,nsa,y_lt25,2005.06,62000,10.8
at,nsa,y_lt25,2005.07,67000,11
at,nsa,y_lt25,2005.08,70000,11.2
at,nsa,y_lt25,2005.09,68000,11
at,nsa,y_lt25,2005.10,60000,10.1
at,nsa,y_lt25,2005.11,56000,9.7
at,nsa,y_lt25,2005.12,60000,10.4
at,nsa,y_lt25,2006.01,61000,10.6
at,nsa,y_lt25,2006.02,57000,10.1
at,nsa,y_lt25,2006.03,54000,9.6
at,nsa,y_lt25,2006.04,51000,9.1
at,nsa,y_lt25,2006.05,48000,8.6
at,nsa,y_lt25,2006.06,48000,8.3
at,nsa,y_lt25,2006.07,57000,9.3
at,nsa,y_lt25,2006.08,61000,9.6
at,nsa,y_lt25,2006.09,57000,9.2
at,nsa,y_lt25,2006.10,51000,8.4
at,nsa,y_lt25,2006.11,46000,7.8
at,nsa,y_lt25,2006.12,47000,8.1
at,nsa,y_lt25,2007.01,49000,8.3
at,nsa,y_lt25,2007.02,47000,8
at,nsa,y_lt25,2007.03,46000,7.8
at,nsa,y_lt25,2007.04,52000,8.8
at,nsa,y_lt25,2007.05,50000,8.6
at,nsa,y_lt25,2007.06,53000,8.8
at,nsa,y_lt25,2007.07,64000,10.1
at,nsa,y_lt25,2007.08,69000,10.6
at,nsa,y_lt25,2007.09,62000,9.8
at,nsa,y_lt25,2007.10,50000,8.2
at,nsa,y_lt25,2007.11,42000,7.2
at,nsa,y_lt25,2007.12,43000,7.4
at,nsa,y_lt25,2008.01,50000,8.5
at,nsa,y_lt25,2008.02,48000,8.2
at,nsa,y_lt25,2008.03,44000,7.6
at,nsa,y_lt25,2008.04,43000,7.5
at,nsa,y_lt25,2008.05,38000,6.6
at,nsa,y_lt25,2008.06,38000,6.4
at,nsa,y_lt25,2008.07,47000,7.5
at,nsa,y_lt25,2008.08,53000,8.3
at,nsa,y_lt25,2008.09,55000,8.6
at,nsa,y_lt25,2008.10,54000,8.7
at,nsa,y_lt25,2008.11,54000,8.8
at,nsa,y_lt25,2008.12,57000,9.5
at,nsa,y_lt25,2009.01,56000,9.3
at,nsa,y_lt25,2009.02,54000,9.2
at,nsa,y_lt25,2009.03,53000,9.1
at,nsa,y_lt25,2009.04,58000,10
at,nsa,y_lt25,2009.05,58000,10
at,nsa,y_lt25,2009.06,60000,10
at,nsa,y_lt25,2009.07,70000,11.2
at,nsa,y_lt25,2009.08,75000,11.7
at,nsa,y_lt25,2009.09,70000,11
at,nsa,y_lt25,2009.10,58000,9.6
at,nsa,y_lt25,2009.11,52000,8.8
at,nsa,y_lt25,2009.12,55000,9.5
at,nsa,y_lt25,2010.01,57000,9.8
at,nsa,y_lt25,2010.02,55000,9.7
at,nsa,y_lt25,2010.03,51000,9.1
at,nsa,y_lt25,2010.04,52000,9.3
at,nsa,y_lt25,2010.05,48000,8.6
at,nsa,y_lt25,2010.06,47000,8.4
at,nsa,y_lt25,2010.07,53000,9
at,nsa,y_lt25,2010.08,61000,9.9
at,nsa,y_lt25,2010.09,62000,9.9
at,nsa,y_lt25,2010.10,59000,9.8
at,nsa,y_lt25,2010.11,58000,9.8
at,nsa,y_lt25,2010.12,62000,10.5
at,sa,y25-74,1993.01,107000,3.4
at,sa,y25-74,1993.02,107000,3.4
at,sa,y25-74,1993.03,109000,3.4
at,sa,y25-74,1993.04,110000,3.5
at,sa,y25-74,1993.05,111000,3.5
at,sa,y25-74,1993.06,113000,3.5
at,sa,y25-74,1993.07,115000,3.6
at,sa,y25-74,1993.08,115000,3.6
at,sa,y25-74,1993.09,115000,3.6
at,sa,y25-74,1993.10,115000,3.6
at,sa,y25-74,1993.11,115000,3.6
at,sa,y25-74,1993.12,115000,3.6
at,sa,y25-74,1994.01,114000,3.6
at,sa,y25-74,1994.02,112000,3.5
at,sa,y25-74,1994.03,110000,3.4
at,sa,y25-74,1994.04,110000,3.4
at,sa,y25-74,1994.05,111000,3.5
at,sa,y25-74,1994.06,111000,3.5
at,sa,y25-74,1994.07,111000,3.5
at,sa,y25-74,1994.08,111000,3.5
at,sa,y25-74,1994.09,111000,3.5
at,sa,y25-74,1994.10,112000,3.5
at,sa,y25-74,1994.11,111000,3.5
at,sa,y25-74,1994.12,111000,3.5
at,sa,y25-74,1995.01,111000,3.5
at,sa,y25-74,1995.02,110000,3.4
at,sa,y25-74,1995.03,109000,3.4
at,sa,y25-74,1995.04,110000,3.5
at,sa,y25-74,1995.05,112000,3.5
at,sa,y25-74,1995.06,113000,3.6
at,sa,y25-74,1995.07,115000,3.6
at,sa,y25-74,1995.08,117000,3.7
at,sa,y25-74,1995.09,118000,3.7
at,sa,y25-74,1995.10,119000,3.8
at,sa,y25-74,1995.11,123000,3.9
at,sa,y25-74,1995.12,125000,3.9
at,sa,y25-74,1996.01,126000,4
at,sa,y25-74,1996.02,129000,4
at,sa,y25-74,1996.03,132000,4.2
at,sa,y25-74,1996.04,133000,4.2
at,sa,y25-74,1996.05,130000,4.1
at,sa,y25-74,1996.06,128000,4
at,sa,y25-74,1996.07,126000,4
at,sa,y25-74,1996.08,126000,3.9
at,sa,y25-74,1996.09,125000,3.9
at,sa,y25-74,1996.10,125000,3.9
at,sa,y25-74,1996.11,124000,3.9
at,sa,y25-74,1996.12,122000,3.8
at,sa,y25-74,1997.01,123000,3.8
at,sa,y25-74,1997.02,123000,3.9
at,sa,y25-74,1997.03,123000,3.8
at,sa,y25-74,1997.04,125000,3.9
at,sa,y25-74,1997.05,127000,4
at,sa,y25-74,1997.06,128000,4
at,sa,y25-74,1997.07,129000,4
at,sa,y25-74,1997.08,131000,4.1
at,sa,y25-74,1997.09,132000,4.1
at,sa,y25-74,1997.10,134000,4.2
at,sa,y25-74,1997.11,136000,4.2
at,sa,y25-74,1997.12,134000,4.2
at,sa,y25-74,1998.01,135000,4.2
at,sa,y25-74,1998.02,137000,4.2
at,sa,y25-74,1998.03,139000,4.3
at,sa,y25-74,1998.04,140000,4.3
at,sa,y25-74,1998.05,140000,4.3
at,sa,y25-74,1998.06,139000,4.3
at,sa,y25-74,1998.07,137000,4.2
at,sa,y25-74,1998.08,135000,4.1
at,sa,y25-74,1998.09,133000,4.1
at,sa,y25-74,1998.10,132000,4
at,sa,y25-74,1998.11,129000,4
at,sa,y25-74,1998.12,125000,3.8
at,sa,y25-74,1999.01,123000,3.8
at,sa,y25-74,1999.02,123000,3.8
at,sa,y25-74,1999.03,123000,3.8
at,sa,y25-74,1999.04,122000,3.7
at,sa,y25-74,1999.05,122000,3.7
at,sa,y25-74,1999.06,120000,3.7
at,sa,y25-74,1999.07,120000,3.7
at,sa,y25-74,1999.08,120000,3.7
at,sa,y25-74,1999.09,120000,3.7
at,sa,y25-74,1999.10,120000,3.7
at,sa,y25-74,1999.11,122000,3.7
at,sa,y25-74,1999.12,121000,3.7
at,sa,y25-74,2000.01,121000,3.7
at,sa,y25-74,2000.02,123000,3.7
at,sa,y25-74,2000.03,120000,3.7
at,sa,y25-74,2000.04,116000,3.5
at,sa,y25-74,2000.05,113000,3.4
at,sa,y25-74,2000.06,111000,3.4
at,sa,y25-74,2000.07,107000,3.3
at,sa,y25-74,2000.08,105000,3.2
at,sa,y25-74,2000.09,104000,3.2
at,sa,y25-74,2000.10,103000,3.1
at,sa,y25-74,2000.11,103000,3.1
at,sa,y25-74,2000.12,101000,3.1
at,sa,y25-74,2001.01,103000,3.1
at,sa,y25-74,2001.02,104000,3.2
at,sa,y25-74,2001.03,103000,3.1
at,sa,y25-74,2001.04,102000,3.1
at,sa,y25-74,2001.05,103000,3.1
at,sa,y25-74,2001.06,106000,3.2
at,sa,y25-74,2001.07,108000,3.3
at,sa,y25-74,2001.08,111000,3.3
at,sa,y25-74,2001.09,113000,3.4
at,sa,y25-74,2001.10,116000,3.5
at,sa,y25-74,2001.11,120000,3.6
at,sa,y25-74,2001.12,124000,3.7
at,sa,y25-74,2002.01,126000,3.8
at,sa,y25-74,2002.02,128000,3.8
at,sa,y25-74,2002.03,128000,3.8
at,sa,y25-74,2002.04,129000,3.8
at,sa,y25-74,2002.05,130000,3.8
at,sa,y25-74,2002.06,129000,3.8
at,sa,y25-74,2002.07,129000,3.8
at,sa,y25-74,2002.08,130000,3.9
at,sa,y25-74,2002.09,131000,3.9
at,sa,y25-74,2002.10,129000,3.8
at,sa,y25-74,2002.11,127000,3.7
at,sa,y25-74,2002.12,127000,3.7
at,sa,y25-74,2003.01,126000,3.7
at,sa,y25-74,2003.02,124000,3.7
at,sa,y25-74,2003.03,124000,3.6
at,sa,y25-74,2003.04,123000,3.6
at,sa,y25-74,2003.05,124000,3.7
at,sa,y25-74,2003.06,126000,3.7
at,sa,y25-74,2003.07,126000,3.7
at,sa,y25-74,2003.08,125000,3.7
at,sa,y25-74,2003.09,125000,3.7
at,sa,y25-74,2003.10,124000,3.7
at,sa,y25-74,2003.11,122000,3.7
at,sa,y25-74,2003.12,122000,3.7
at,sa,y25-74,2004.01,122000,3.7
at,sa,y25-74,2004.02,124000,3.7
at,sa,y25-74,2004.03,129000,3.9
at,sa,y25-74,2004.04,134000,4
at,sa,y25-74,2004.05,138000,4.1
at,sa,y25-74,2004.06,144000,4.2
at,sa,y25-74,2004.07,143000,4.2
at,sa,y25-74,2004.08,144000,4.2
at,sa,y25-74,2004.09,145000,4.3
at,sa,y25-74,2004.10,144000,4.2
at,sa,y25-74,2004.11,145000,4.3
at,sa,y25-74,2004.12,143000,4.2
at,sa,y25-74,2005.01,142000,4.2
at,sa,y25-74,2005.02,144000,4.2
at,sa,y25-74,2005.03,147000,4.3
at,sa,y25-74,2005.04,147000,4.3
at,sa,y25-74,2005.05,148000,4.3
at,sa,y25-74,2005.06,148000,4.3
at,sa,y25-74,2005.07,146000,4.2
at,sa,y25-74,2005.08,147000,4.3
at,sa,y25-74,2005.09,149000,4.3
at,sa,y25-74,2005.10,151000,4.3
at,sa,y25-74,2005.11,152000,4.4
at,sa,y25-74,2005.12,153000,4.4
at,sa,y25-74,2006.01,154000,4.4
at,sa,y25-74,2006.02,154000,4.4
at,sa,y25-74,2006.03,153000,4.4
at,sa,y25-74,2006.04,148000,4.2
at,sa,y25-74,2006.05,146000,4.1
at,sa,y25-74,2006.06,140000,4
at,sa,y25-74,2006.07,132000,3.7
at,sa,y25-74,2006.08,128000,3.6
at,sa,y25-74,2006.09,129000,3.6
at,sa,y25-74,2006.10,136000,3.8
at,sa,y25-74,2006.11,140000,3.9
at,sa,y25-74,2006.12,140000,3.9
at,sa,y25-74,2007.01,137000,3.8
at,sa,y25-74,2007.02,134000,3.7
at,sa,y25-74,2007.03,133000,3.7
at,sa,y25-74,2007.04,134000,3.7
at,sa,y25-74,2007.05,136000,3.8
at,sa,y25-74,2007.06,136000,3.8
at,sa,y25-74,2007.07,140000,3.9
at,sa,y25-74,2007.08,140000,3.9
at,sa,y25-74,2007.09,134000,3.7
