country_group,seasonality,sex,month,unemployment,unemployment_rate
eu,nsa,m,2004.03,11388000,9
eu,nsa,m,2004.04,10758000,8.5
eu,nsa,m,2004.05,10664000,8.4
eu,nsa,m,2004.06,10613000,8.3
eu,nsa,m,2004.07,10495000,8.2
eu,nsa,m,2004.08,10532000,8.2
eu,nsa,m,2004.09,10577000,8.2
eu,nsa,m,2004.10,10585000,8.3
eu,nsa,m,2004.11,10716000,8.4
eu,nsa,m,2004.12,10835000,8.5
eu,nsa,m,2005.01,11292000,8.9
eu,nsa,m,2005.02,11407000,8.9
eu,nsa,m,2005.03,11477000,9
eu,nsa,m,2005.04,10899000,8.5
eu,nsa,m,2005.05,10755000,8.4
eu,nsa,m,2005.06,10494000,8.1
eu,nsa,m,2005.07,10143000,7.9
eu,nsa,m,2005.08,10347000,8
eu,nsa,m,2005.09,10338000,8
eu,nsa,m,2005.10,10480000,8.1
eu,nsa,m,2005.11,10369000,8
eu,nsa,m,2005.12,10413000,8.1
eu,nsa,m,2006.01,10934000,8.5
eu,nsa,m,2006.02,10872000,8.5
eu,nsa,m,2006.03,10669000,8.3
eu,nsa,m,2006.04,10134000,7.9
eu,nsa,m,2006.05,9745000,7.5
eu,nsa,m,2006.06,9605000,7.4
eu,nsa,m,2006.07,9490000,7.3
eu,nsa,m,2006.08,9334000,7.2
eu,nsa,m,2006.09,9300000,7.1
eu,nsa,m,2006.10,9294000,7.2
eu,nsa,m,2006.11,9324000,7.2
eu,nsa,m,2006.12,9267000,7.2
eu,nsa,m,2007.01,9471000,7.3
eu,nsa,m,2007.02,9486000,7.3
eu,nsa,m,2007.03,9219000,7.1
eu,nsa,m,2007.04,8552000,6.6
eu,nsa,m,2007.05,8528000,6.5
eu,nsa,m,2007.06,8243000,6.3
eu,nsa,m,2007.07,8445000,6.4
eu,nsa,m,2007.08,8318000,6.3
eu,nsa,m,2007.09,8225000,6.3
eu,nsa,m,2007.10,8073000,6.2
eu,nsa,m,2007.11,8224000,6.3
eu,nsa,m,2007.12,8436000,6.5
eu,nsa,m,2008.01,8728000,6.7
eu,nsa,m,2008.02,8711000,6.7
eu,nsa,m,2008.03,8653000,6.6
eu,nsa,m,2008.04,8443000,6.4
eu,nsa,m,2008.05,8244000,6.3
eu,nsa,m,2008.06,8478000,6.4
eu,nsa,m,2008.07,8400000,6.4
eu,nsa,m,2008.08,8288000,6.3
eu,nsa,m,2008.09,8494000,6.4
eu,nsa,m,2008.10,8746000,6.6
eu,nsa,m,2008.11,9177000,7
eu,nsa,m,2008.12,9850000,7.5
eu,nsa,m,2009.01,10834000,8.3
eu,nsa,m,2009.02,11500000,8.8
eu,nsa,m,2009.03,11861000,9.1
eu,nsa,m,2009.04,11697000,8.9
eu,nsa,m,2009.05,11613000,8.8
eu,nsa,m,2009.06,11596000,8.8
eu,nsa,m,2009.07,11717000,8.9
eu,nsa,m,2009.08,11748000,8.9
eu,nsa,m,2009.09,12102000,9.2
eu,nsa,m,2009.10,12109000,9.2
eu,nsa,m,2009.11,12251000,9.4
eu,nsa,m,2009.12,12569000,9.6
eu,nsa,m,2010.01,13442000,10.3
eu,nsa,m,2010.02,13667000,10.5
eu,nsa,m,2010.03,13444000,10.3
eu,nsa,m,2010.04,13034000,9.9
eu,nsa,m,2010.05,12551000,9.6
eu,nsa,m,2010.06,12268000,9.3
eu,nsa,m,2010.07,12125000,9.2
eu,nsa,m,2010.08,12036000,9.2
eu,nsa,m,2010.09,12140000,9.2
eu,nsa,m,2010.10,12343000,9.4
eu,nsa,m,2010.11,12297000,9.4
eu,nsa,m,2010.12,12636000,9.7
eu,sa,f,2000.01,9977000,10.1
eu,sa,f,2000.02,9986000,10.1
eu,sa,f,2000.03,9947000,10
eu,sa,f,2000.04,9928000,10
eu,sa,f,2000.05,9875000,9.9
eu,sa,f,2000.06,9850000,9.9
eu,sa,f,2000.07,9782000,9.8
eu,sa,f,2000.08,9758000,9.8
eu,sa,f,2000.09,9723000,9.7
eu,sa,f,2000.10,9588000,9.6
eu,sa,f,2000.11,9559000,9.5
eu,sa,f,2000.12,9520000,9.5
eu,sa,f,2001.01,9516000,9.5
eu,sa,f,2001.02,9536000,9.5
eu,sa,f,2001.03,9546000,9.5
eu,sa,f,2001.04,9504000,9.5
eu,sa,f,2001.05,9535000,9.5
eu,sa,f,2001.06,9512000,9.5
eu,sa,f,2001.07,9462000,9.4
eu,sa,f,2001.08,9471000,9.4
eu,sa,f,2001.09,9470000,9.4
eu,sa,f,2001.10,9500000,9.4
eu,sa,f,2001.11,9541000,9.5
eu,sa,f,2001.12,9567000,9.5
eu,sa,f,2002.01,9661000,9.6
eu,sa,f,2002.02,9684000,9.6
eu,sa,f,2002.03,9721000,9.6
eu,sa,f,2002.04,9800000,9.7
eu,sa,f,2002.05,9774000,9.6
eu,sa,f,2002.06,9840000,9.7
eu,sa,f,2002.07,9916000,9.8
eu,sa,f,2002.08,9939000,9.8
eu,sa,f,2002.09,9960000,9.8
eu,sa,f,2002.10,9911000,9.8
eu,sa,f,2002.11,9929000,9.8
eu,sa,f,2002.12,9900000,9.7
eu,sa,f,2003.01,9931000,9.7
eu,sa,f,2003.02,9937000,9.7
eu,sa,f,2003.03,9962000,9.8
eu,sa,f,2003.04,9911000,9.7
eu,sa,f,2003.05,9943000,9.7
eu,sa,f,2003.06,9987000,9.8
eu,sa,f,2003.07,9995000,9.8
eu,sa,f,2003.08,10012000,9.8
eu,sa,f,2003.09,10025000,9.8
eu,sa,f,2003.10,9988000,9.7
eu,sa,f,2003.11,10003000,9.7
eu,sa,f,2003.12,10034000,9.8
eu,sa,f,2004.01,10152000,9.8
eu,sa,f,2004.02,10166000,9.8
eu,sa,f,2004.03,10203000,9.9
eu,sa,f,2004.04,10149000,9.8
eu,sa,f,2004.05,10130000,9.8
eu,sa,f,2004.06,10083000,9.7
eu,sa,f,2004.07,10103000,9.7
eu,sa,f,2004.08,10104000,9.7
eu,sa,f,2004.09,10144000,9.8
eu,sa,f,2004.10,10151000,9.7
eu,sa,f,2004.11,10187000,9.8
eu,sa,f,2004.12,10213000,9.8
eu,sa,f,2005.01,10078000,9.7
eu,sa,f,2005.02,10163000,9.7
eu,sa,f,2005.03,10109000,9.7
eu,sa,f,2005.04,10172000,9.7
eu,sa,f,2005.05,10140000,9.7
eu,sa,f,2005.06,10149000,9.7
eu,sa,f,2005.07,10042000,9.6
eu,sa,f,2005.08,10008000,9.6
eu,sa,f,2005.09,10056000,9.6
eu,sa,f,2005.10,10114000,9.6
eu,sa,f,2005.11,10037000,9.5
eu,sa,f,2005.12,9979000,9.5
eu,sa,f,2006.01,9904000,9.4
eu,sa,f,2006.02,9828000,9.3
eu,sa,f,2006.03,9755000,9.2
eu,sa,f,2006.04,9645000,9.1
eu,sa,f,2006.05,9612000,9.1
eu,sa,f,2006.06,9487000,8.9
eu,sa,f,2006.07,9391000,8.9
eu,sa,f,2006.08,9354000,8.8
eu,sa,f,2006.09,9245000,8.7
eu,sa,f,2006.10,9099000,8.6
eu,sa,f,2006.11,9049000,8.5
eu,sa,f,2006.12,8937000,8.4
eu,sa,f,2007.01,8849000,8.3
eu,sa,f,2007.02,8717000,8.2
eu,sa,f,2007.03,8599000,8.1
eu,sa,f,2007.04,8508000,8
eu,sa,f,2007.05,8430000,7.9
eu,sa,f,2007.06,8362000,7.8
eu,sa,f,2007.07,8343000,7.8
eu,sa,f,2007.08,8276000,7.7
eu,sa,f,2007.09,8215000,7.7
eu,sa,f,2007.10,8180000,7.6
eu,sa,f,2007.11,8097000,7.5
eu,sa,f,2007.12,8100000,7.5
eu,sa,f,2008.01,8005000,7.4
eu,sa,f,2008.02,7944000,7.4
eu,sa,f,2008.03,7879000,7.3
eu,sa,f,2008.04,7915000,7.3
eu,sa,f,2008.05,7974000,7.4
eu,sa,f,2008.06,8068000,7.5
eu,sa,f,2008.07,8083000,7.5
eu,sa,f,2008.08,8160000,7.5
eu,sa,f,2008.09,8216000,7.6
eu,sa,f,2008.10,8303000,7.6
eu,sa,f,2008.11,8473000,7.8
eu,sa,f,2008.12,8615000,7.9
eu,sa,f,2009.01,8889000,8.2
eu,sa,f,2009.02,9148000,8.4
eu,sa,f,2009.03,9333000,8.5
eu,sa,f,2009.04,9464000,8.7
eu,sa,f,2009.05,9580000,8.8
eu,sa,f,2009.06,9666000,8.8
eu,sa,f,2009.07,9794000,9
eu,sa,f,2009.08,9907000,9.1
eu,sa,f,2009.09,9978000,9.1
eu,sa,f,2009.10,10043000,9.2
eu,sa,f,2009.11,10077000,9.2
eu,sa,f,2009.12,10151000,9.3
eu,sa,f,2010.01,10233000,9.3
eu,sa,f,2010.02,10268000,9.4
eu,sa,f,2010.03,10314000,9.4
eu,sa,f,2010.04,10390000,9.5
eu,sa,f,2010.05,10448000,9.5
eu,sa,f,2010.06,10448000,9.5
eu,sa,f,2010.07,10535000,9.6
eu,sa,f,2010.08,10515000,9.6
eu,sa,f,2010.09,10582000,9.6
eu,sa,f,2010.10,10598000,9.6
eu,sa,f,2010.11,10581000,9.6
eu,sa,f,2010.12,10539000,9.6
eu,sa,m,2000.01,9976000,8
eu,sa,m,2000.02,9923000,7.9
eu,sa,m,2000.03,9907000,7.9
eu,sa,m,2000.04,9843000,7.9
eu,sa,m,2000.05,9796000,7.8
eu,sa,m,2000.06,9737000,7.8
eu,sa,m,2000.07,9703000,7.7
eu,sa,m,2000.08,9660000,7.7
eu,sa,m,2000.09,9632000,7.7
eu,sa,m,2000.10,9576000,7.6
eu,sa,m,2000.11,9560000,7.6
eu,sa,m,2000.12,9549000,7.6
eu,sa,m,2001.01,9521000,7.6
eu,sa,m,2001.02,9552000,7.6
eu,sa,m,2001.03,9570000,7.6
eu,sa,m,2001.04,9608000,7.7
eu,sa,m,2001.05,9694000,7.7
eu,sa,m,2001.06,9728000,7.7
eu,sa,m,2001.07,9758000,7.8
eu,sa,m,2001.08,9784000,7.8
eu,sa,m,2001.09,9844000,7.8
eu,sa,m,2001.10,9952000,7.9
eu,sa,m,2001.11,10013000,8
eu,sa,m,2001.12,10074000,8
eu,sa,m,2002.01,10187000,8.1
eu,sa,m,2002.02,10264000,8.1
eu,sa,m,2002.03,10239000,8.1
eu,sa,m,2002.04,10275000,8.2
eu,sa,m,2002.05,10350000,8.2
eu,sa,m,2002.06,10409000,8.3
eu,sa,m,2002.07,10467000,8.3
eu,sa,m,2002.08,10528000,8.4
eu,sa,m,2002.09,10588000,8.4
eu,sa,m,2002.10,10632000,8.4
eu,sa,m,2002.11,10666000,8.5
eu,sa,m,2002.12,10677000,8.5
eu,sa,m,2003.01,10632000,8.4
eu,sa,m,2003.02,10621000,8.4
eu,sa,m,2003.03,10627000,8.4
eu,sa,m,2003.04,10626000,8.4
eu,sa,m,2003.05,10618000,8.4
eu,sa,m,2003.06,10655000,8.4
eu,sa,m,2003.07,10626000,8.4
eu,sa,m,2003.08,10625000,8.4
eu,sa,m,2003.09,10625000,8.4
eu,sa,m,2003.10,10624000,8.4
eu,sa,m,2003.11,10655000,8.4
eu,sa,m,2003.12,10700000,8.4
eu,sa,m,2004.01,10778000,8.5
eu,sa,m,2004.02,10780000,8.5
eu,sa,m,2004.03,10809000,8.5
eu,sa,m,2004.04,10819000,8.5
eu,sa,m,2004.05,10858000,8.5
eu,sa,m,2004.06,10857000,8.5
eu,sa,m,2004.07,10844000,8.5
eu,sa,m,2004.08,10820000,8.5
eu,sa,m,2004.09,10854000,8.5
eu,sa,m,2004.10,10816000,8.5
eu,sa,m,2004.11,10846000,8.5
eu,sa,m,2004.12,10871000,8.5
eu,sa,m,2005.01,10790000,8.4
eu,sa,m,2005.02,10801000,8.4
eu,sa,m,2005.03,10927000,8.5
eu,sa,m,2005.04,10836000,8.4
eu,sa,m,2005.05,10814000,8.4
eu,sa,m,2005.06,10782000,8.4
eu,sa,m,2005.07,10648000,8.3
eu,sa,m,2005.08,10614000,8.3
eu,sa,m,2005.09,10583000,8.2
eu,sa,m,2005.10,10555000,8.2
eu,sa,m,2005.11,10479000,8.1
eu,sa,m,2005.12,10390000,8
eu,sa,m,2006.01,10345000,8
eu,sa,m,2006.02,10273000,8
eu,sa,m,2006.03,10214000,7.9
eu,sa,m,2006.04,10163000,7.9
eu,sa,m,2006.05,9979000,7.7
eu,sa,m,2006.06,9848000,7.6
eu,sa,m,2006.07,9748000,7.5
eu,sa,m,2006.08,9688000,7.5
eu,sa,m,2006.09,9594000,7.4
eu,sa,m,2006.10,9501000,7.3
eu,sa,m,2006.11,9373000,7.2
eu,sa,m,2006.12,9216000,7.1
eu,sa,m,2007.01,9001000,6.9
eu,sa,m,2007.02,8855000,6.8
eu,sa,m,2007.03,8737000,6.7
eu,sa,m,2007.04,8592000,6.6
eu,sa,m,2007.05,8637000,6.6
eu,sa,m,2007.06,8564000,6.6
eu,sa,m,2007.07,8636000,6.6
eu,sa,m,2007.08,8607000,6.6
eu,sa,m,2007.09,8532000,6.5
eu,sa,m,2007.10,8430000,6.5
eu,sa,m,2007.11,8347000,6.4
eu,sa,m,2007.12,8391000,6.4
eu,sa,m,2008.01,8241000,6.3
eu,sa,m,2008.02,8115000,6.2
eu,sa,m,2008.03,8092000,6.2
eu,sa,m,2008.04,8280000,6.3
eu,sa,m,2008.05,8405000,6.4
eu,sa,m,2008.06,8573000,6.5
eu,sa,m,2008.07,8660000,6.6
eu,sa,m,2008.08,8778000,6.7
eu,sa,m,2008.09,8924000,6.8
eu,sa,m,2008.10,9196000,7
eu,sa,m,2008.11,9468000,7.2
eu,sa,m,2008.12,9788000,7.4
eu,sa,m,2009.01,10236000,7.8
eu,sa,m,2009.02,10682000,8.1
eu,sa,m,2009.03,11228000,8.5
eu,sa,m,2009.04,11471000,8.7
eu,sa,m,2009.05,11744000,8.9
eu,sa,m,2009.06,11904000,9.1
eu,sa,m,2009.07,12152000,9.3
eu,sa,m,2009.08,12243000,9.3
eu,sa,m,2009.09,12464000,9.5
eu,sa,m,2009.10,12482000,9.5
eu,sa,m,2009.11,12573000,9.6
eu,sa,m,2009.12,12594000,9.6
eu,sa,m,2010.01,12715000,9.7
eu,sa,m,2010.02,12788000,9.8
eu,sa,m,2010.03,12760000,9.7
eu,sa,m,2010.04,12743000,9.7
eu,sa,m,2010.05,12699000,9.7
eu,sa,m,2010.06,12651000,9.6
eu,sa,m,2010.07,12598000,9.6
eu,sa,m,2010.08,12596000,9.6
eu,sa,m,2010.09,12590000,9.6
eu,sa,m,2010.10,12662000,9.6
eu,sa,m,2010.11,12616000,9.6
eu,sa,m,2010.12,12640000,9.6
eu,trend,f,2000.01,9989000,10.1
eu,trend,f,2000.02,9988000,10.1
eu,trend,f,2000.03,9958000,10
eu,trend,f,2000.04,9916000,10
eu,trend,f,2000.05,9874000,9.9
eu,trend,f,2000.06,9839000,9.9
eu,trend,f,2000.07,9774000,9.8
eu,trend,f,2000.08,9748000,9.7
eu,trend,f,2000.09,9717000,9.7
eu,trend,f,2000.10,9622000,9.6
eu,trend,f,2000.11,9580000,9.6
eu,trend,f,2000.12,9540000,9.5
eu,trend,f,2001.01,9516000,9.5
eu,trend,f,2001.02,9534000,9.5
eu,trend,f,2001.03,9541000,9.5
eu,trend,f,2001.04,9508000,9.5
eu,trend,f,2001.05,9518000,9.5
eu,trend,f,2001.06,9512000,9.4
eu,trend,f,2001.07,9474000,9.4
eu,trend,f,2001.08,9470000,9.4
eu,trend,f,2001.09,9483000,9.4
eu,trend,f,2001.10,9506000,9.4
eu,trend,f,2001.11,9551000,9.5
eu,trend,f,2001.12,9580000,9.5
eu,trend,f,2002.01,9610000,9.5
eu,trend,f,2002.02,9634000,9.5
eu,trend,f,2002.03,9668000,9.6
eu,trend,f,2002.04,9769000,9.6
eu,trend,f,2002.05,9818000,9.7
eu,trend,f,2002.06,9874000,9.7
eu,trend,f,2002.07,9912000,9.8
eu,trend,f,2002.08,9938000,9.8
eu,trend,f,2002.09,9945000,9.8
eu,trend,f,2002.10,9914000,9.8
eu,trend,f,2002.11,9911000,9.8
eu,trend,f,2002.12,9894000,9.7
eu,trend,f,2003.01,9930000,9.7
eu,trend,f,2003.02,9952000,9.7
eu,trend,f,2003.03,9967000,9.8
eu,trend,f,2003.04,9958000,9.7
eu,trend,f,2003.05,9972000,9.7
eu,trend,f,2003.06,9999000,9.8
eu,trend,f,2003.07,10009000,9.8
eu,trend,f,2003.08,10015000,9.8
eu,trend,f,2003.09,10025000,9.8
eu,trend,f,2003.10,10050000,9.8
eu,trend,f,2003.11,10060000,9.8
eu,trend,f,2003.12,10084000,9.8
eu,trend,f,2004.01,10121000,9.8
eu,trend,f,2004.02,10132000,9.8
eu,trend,f,2004.03,10168000,9.9
eu,trend,f,2004.04,10167000,9.8
eu,trend,f,2004.05,10149000,9.8
eu,trend,f,2004.06,10098000,9.8
eu,trend,f,2004.07,10106000,9.7
eu,trend,f,2004.08,10104000,9.7
eu,trend,f,2004.09,10118000,9.7
eu,trend,f,2004.10,10145000,9.7
eu,trend,f,2004.11,10174000,9.8
eu,trend,f,2004.12,10183000,9.8
eu,trend,f,2005.01,10129000,9.7
eu,trend,f,2005.02,10161000,9.7
eu,trend,f,2005.03,10126000,9.7
eu,trend,f,2005.04,10136000,9.7
eu,trend,f,2005.05,10100000,9.7
eu,trend,f,2005.06,10107000,9.7
eu,trend,f,2005.07,10047000,9.6
eu,trend,f,2005.08,10021000,9.6
eu,trend,f,2005.09,10095000,9.6
eu,trend,f,2005.10,10102000,9.6
eu,trend,f,2005.11,10038000,9.5
eu,trend,f,2005.12,9968000,9.5
eu,trend,f,2006.01,9887000,9.4
eu,trend,f,2006.02,9825000,9.3
eu,trend,f,2006.03,9742000,9.2
eu,trend,f,2006.04,9648000,9.1
eu,trend,f,2006.05,9615000,9.1
eu,trend,f,2006.06,9502000,9
eu,trend,f,2006.07,9392000,8.9
eu,trend,f,2006.08,9341000,8.8
eu,trend,f,2006.09,9245000,8.7
eu,trend,f,2006.10,9114000,8.6
eu,trend,f,2006.11,9053000,8.5
eu,trend,f,2006.12,8946000,8.4
eu,trend,f,2007.01,8855000,8.3
eu,trend,f,2007.02,8730000,8.2
eu,trend,f,2007.03,8613000,8.1
eu,trend,f,2007.04,8496000,8
eu,trend,f,2007.05,8424000,7.9
eu,trend,f,2007.06,8350000,7.8
eu,trend,f,2007.07,8345000,7.8
eu,trend,f,2007.08,8275000,7.7
eu,trend,f,2007.09,8218000,7.7
eu,trend,f,2007.10,8187000,7.6
eu,trend,f,2007.11,8116000,7.5
eu,trend,f,2007.12,8095000,7.5
eu,trend,f,2008.01,8012000,7.4
eu,trend,f,2008.02,7958000,7.4
eu,trend,f,2008.03,7916000,7.3
eu,trend,f,2008.04,7983000,7.4
eu,trend,f,2008.05,8017000,7.4
eu,trend,f,2008.06,8072000,7.5
eu,trend,f,2008.07,8102000,7.5
eu,trend,f,2008.08,8183000,7.5
eu,trend,f,2008.09,8222000,7.6
eu,trend,f,2008.10,8309000,7.6
eu,trend,f,2008.11,8470000,7.8
eu,trend,f,2008.12,8632000,7.9
eu,trend,f,2009.01,8908000,8.2
eu,trend,f,2009.02,9142000,8.4
eu,trend,f,2009.03,9321000,8.5
eu,trend,f,2009.04,9484000,8.7
eu,trend,f,2009.05,9560000,8.7
eu,trend,f,2009.06,9670000,8.8
eu,trend,f,2009.07,9803000,9
eu,trend,f,2009.08,9897000,9.1
eu,trend,f,2009.09,9963000,9.1
eu,trend,f,2009.10,10035000,9.2
eu,trend,f,2009.11,10071000,9.2
eu,trend,f,2009.12,10151000,9.3
eu,trend,f,2010.01,10234000,9.3
eu,trend,f,2010.02,10276000,9.4
eu,trend,f,2010.03,10324000,9.4
eu,trend,f,2010.04,10370000,9.4
eu,trend,f,2010.05,10444000,9.5
eu,trend,f,2010.06,10458000,9.5
