country,seasonality,sex,month,unemployment,unemployment_rate
at,nsa,f,2007.12,80000,4.2
at,nsa,f,2008.01,85000,4.4
at,nsa,f,2008.02,82000,4.3
at,nsa,f,2008.03,78000,4.1
at,nsa,f,2008.04,80000,4.1
at,nsa,f,2008.05,71000,3.7
at,nsa,f,2008.06,69000,3.6
at,nsa,f,2008.07,77000,3.9
at,nsa,f,2008.08,83000,4.2
at,nsa,f,2008.09,81000,4.1
at,nsa,f,2008.10,87000,4.4
at,nsa,f,2008.11,88000,4.5
at,nsa,f,2008.12,85000,4.3
at,nsa,f,2009.01,84000,4.3
at,nsa,f,2009.02,84000,4.3
at,nsa,f,2009.03,84000,4.3
at,nsa,f,2009.04,90000,4.6
at,nsa,f,2009.05,86000,4.4
at,nsa,f,2009.06,88000,4.4
at,nsa,f,2009.07,100000,5
at,nsa,f,2009.08,107000,5.3
at,nsa,f,2009.09,100000,5
at,nsa,f,2009.10,93000,4.7
at,nsa,f,2009.11,87000,4.4
at,nsa,f,2009.12,80000,4.1
at,nsa,f,2010.01,81000,4.1
at,nsa,f,2010.02,81000,4.1
at,nsa,f,2010.03,80000,4.1
at,nsa,f,2010.04,88000,4.5
at,nsa,f,2010.05,82000,4.2
at,nsa,f,2010.06,79000,4
at,nsa,f,2010.07,81000,4.1
at,nsa,f,2010.08,86000,4.3
at,nsa,f,2010.09,84000,4.2
at,nsa,f,2010.10,86000,4.3
at,nsa,f,2010.11,88000,4.4
at,nsa,f,2010.12,82000,4.1
at,nsa,m,1993.01,90000,4.1
at,nsa,m,1993.02,93000,4.3
at,nsa,m,1993.03,84000,3.9
at,nsa,m,1993.04,70000,3.3
at,nsa,m,1993.05,60000,2.8
at,nsa,m,1993.06,54000,2.5
at,nsa,m,1993.07,52000,2.4
at,nsa,m,1993.08,51000,2.4
at,nsa,m,1993.09,52000,2.4
at,nsa,m,1993.10,55000,2.6
at,nsa,m,1993.11,60000,2.8
at,nsa,m,1993.12,77000,3.6
at,nsa,m,1994.01,95000,4.4
at,nsa,m,1994.02,95000,4.4
at,nsa,m,1994.03,82000,3.8
at,nsa,m,1994.04,66000,3.1
at,nsa,m,1994.05,58000,2.7
at,nsa,m,1994.06,51000,2.4
at,nsa,m,1994.07,48000,2.2
at,nsa,m,1994.08,47000,2.2
at,nsa,m,1994.09,48000,2.3
at,nsa,m,1994.10,50000,2.4
at,nsa,m,1994.11,54000,2.6
at,nsa,m,1994.12,70000,3.2
at,nsa,m,1995.01,89000,4.1
at,nsa,m,1995.02,91000,4.2
at,nsa,m,1995.03,78000,3.6
at,nsa,m,1995.04,65000,3
at,nsa,m,1995.05,56000,2.7
at,nsa,m,1995.06,51000,2.4
at,nsa,m,1995.07,49000,2.3
at,nsa,m,1995.08,50000,2.4
at,nsa,m,1995.09,51000,2.4
at,nsa,m,1995.10,55000,2.6
at,nsa,m,1995.11,64000,3
at,nsa,m,1995.12,84000,4
at,nsa,m,1996.01,107000,5
at,nsa,m,1996.02,116000,5.4
at,nsa,m,1996.03,107000,5
at,nsa,m,1996.04,88000,4.1
at,nsa,m,1996.05,70000,3.4
at,nsa,m,1996.06,61000,2.9
at,nsa,m,1996.07,56000,2.7
at,nsa,m,1996.08,55000,2.6
at,nsa,m,1996.09,55000,2.6
at,nsa,m,1996.10,58000,2.8
at,nsa,m,1996.11,65000,3.1
at,nsa,m,1996.12,78000,3.7
at,nsa,m,1997.01,100000,4.7
at,nsa,m,1997.02,109000,5.1
at,nsa,m,1997.03,95000,4.5
at,nsa,m,1997.04,79000,3.8
at,nsa,m,1997.05,68000,3.3
at,nsa,m,1997.06,61000,2.9
at,nsa,m,1997.07,58000,2.8
at,nsa,m,1997.08,58000,2.8
at,nsa,m,1997.09,59000,2.8
at,nsa,m,1997.10,63000,3
at,nsa,m,1997.11,71000,3.4
at,nsa,m,1997.12,88000,4.2
at,nsa,m,1998.01,110000,5.2
at,nsa,m,1998.02,120000,5.6
at,nsa,m,1998.03,107000,5
at,nsa,m,1998.04,87000,4.1
at,nsa,m,1998.05,74000,3.5
at,nsa,m,1998.06,66000,3.1
at,nsa,m,1998.07,61000,2.9
at,nsa,m,1998.08,59000,2.8
at,nsa,m,1998.09,59000,2.8
at,nsa,m,1998.10,61000,2.9
at,nsa,m,1998.11,67000,3.2
at,nsa,m,1998.12,81000,3.8
at,nsa,m,1999.01,100000,4.6
at,nsa,m,1999.02,107000,5
at,nsa,m,1999.03,95000,4.4
at,nsa,m,1999.04,75000,3.6
at,nsa,m,1999.05,63000,3
at,nsa,m,1999.06,55000,2.6
at,nsa,m,1999.07,52000,2.5
at,nsa,m,1999.08,51000,2.5
at,nsa,m,1999.09,52000,2.5
at,nsa,m,1999.10,55000,2.6
at,nsa,m,1999.11,63000,3
at,nsa,m,1999.12,78000,3.7
at,nsa,m,2000.01,100000,4.7
at,nsa,m,2000.02,110000,5.1
at,nsa,m,2000.03,94000,4.4
at,nsa,m,2000.04,73000,3.4
at,nsa,m,2000.05,59000,2.8
at,nsa,m,2000.06,51000,2.4
at,nsa,m,2000.07,46000,2.2
at,nsa,m,2000.08,45000,2.1
at,nsa,m,2000.09,45000,2.1
at,nsa,m,2000.10,46000,2.2
at,nsa,m,2000.11,52000,2.5
at,nsa,m,2000.12,64000,3
at,nsa,m,2001.01,83000,3.9
at,nsa,m,2001.02,92000,4.3
at,nsa,m,2001.03,80000,3.8
at,nsa,m,2001.04,64000,3
at,nsa,m,2001.05,55000,2.6
at,nsa,m,2001.06,51000,2.4
at,nsa,m,2001.07,49000,2.3
at,nsa,m,2001.08,50000,2.4
at,nsa,m,2001.09,53000,2.5
at,nsa,m,2001.10,58000,2.8
at,nsa,m,2001.11,68000,3.2
at,nsa,m,2001.12,90000,4.2
at,nsa,m,2002.01,116000,5.4
at,nsa,m,2002.02,122000,5.6
at,nsa,m,2002.03,108000,5
at,nsa,m,2002.04,89000,4.2
at,nsa,m,2002.05,77000,3.6
at,nsa,m,2002.06,69000,3.2
at,nsa,m,2002.07,65000,3.1
at,nsa,m,2002.08,65000,3.1
at,nsa,m,2002.09,67000,3.1
at,nsa,m,2002.10,69000,3.2
at,nsa,m,2002.11,75000,3.5
at,nsa,m,2002.12,96000,4.5
at,nsa,m,2003.01,118000,5.4
at,nsa,m,2003.02,122000,5.6
at,nsa,m,2003.03,107000,4.9
at,nsa,m,2003.04,87000,4
at,nsa,m,2003.05,75000,3.5
at,nsa,m,2003.06,68000,3.2
at,nsa,m,2003.07,64000,3.1
at,nsa,m,2003.08,64000,3
at,nsa,m,2003.09,65000,3.1
at,nsa,m,2003.10,68000,3.3
at,nsa,m,2003.11,74000,3.6
at,nsa,m,2003.12,95000,4.5
at,nsa,m,2004.01,114000,5.4
at,nsa,m,2004.02,115000,5.5
at,nsa,m,2004.03,104000,4.9
at,nsa,m,2004.04,93000,4.4
at,nsa,m,2004.05,90000,4.2
at,nsa,m,2004.06,91000,4.2
at,nsa,m,2004.07,90000,4.1
at,nsa,m,2004.08,90000,4.1
at,nsa,m,2004.09,88000,4
at,nsa,m,2004.10,86000,4
at,nsa,m,2004.11,89000,4.1
at,nsa,m,2004.12,115000,5.3
at,nsa,m,2005.01,111000,5.2
at,nsa,m,2005.02,114000,5.3
at,nsa,m,2005.03,112000,5.2
at,nsa,m,2005.04,114000,5.2
at,nsa,m,2005.05,114000,5.2
at,nsa,m,2005.06,109000,4.9
at,nsa,m,2005.07,103000,4.6
at,nsa,m,2005.08,100000,4.4
at,nsa,m,2005.09,97000,4.3
at,nsa,m,2005.10,95000,4.3
at,nsa,m,2005.11,98000,4.4
at,nsa,m,2005.12,127000,5.7
at,nsa,m,2006.01,127000,5.8
at,nsa,m,2006.02,122000,5.6
at,nsa,m,2006.03,112000,5.1
at,nsa,m,2006.04,100000,4.5
at,nsa,m,2006.05,96000,4.3
at,nsa,m,2006.06,90000,4
at,nsa,m,2006.07,88000,3.8
at,nsa,m,2006.08,85000,3.7
at,nsa,m,2006.09,81000,3.5
at,nsa,m,2006.10,79000,3.5
at,nsa,m,2006.11,79000,3.6
at,nsa,m,2006.12,104000,4.6
at,nsa,m,2007.01,103000,4.6
at,nsa,m,2007.02,98000,4.4
at,nsa,m,2007.03,89000,4
at,nsa,m,2007.04,90000,3.9
at,nsa,m,2007.05,90000,3.9
at,nsa,m,2007.06,89000,3.8
at,nsa,m,2007.07,94000,4
at,nsa,m,2007.08,94000,4
at,nsa,m,2007.09,86000,3.7
at,nsa,m,2007.10,75000,3.3
at,nsa,m,2007.11,73000,3.2
at,nsa,m,2007.12,96000,4.2
at,nsa,m,2008.01,104000,4.6
at,nsa,m,2008.02,96000,4.3
at,nsa,m,2008.03,81000,3.6
at,nsa,m,2008.04,76000,3.3
at,nsa,m,2008.05,72000,3.1
at,nsa,m,2008.06,70000,3
at,nsa,m,2008.07,79000,3.4
at,nsa,m,2008.08,81000,3.5
at,nsa,m,2008.09,77000,3.3
at,nsa,m,2008.10,72000,3.1
at,nsa,m,2008.11,73000,3.2
at,nsa,m,2008.12,101000,4.4
at,nsa,m,2009.01,111000,4.9
at,nsa,m,2009.02,117000,5.2
at,nsa,m,2009.03,110000,4.9
at,nsa,m,2009.04,109000,4.8
at,nsa,m,2009.05,110000,4.8
at,nsa,m,2009.06,113000,4.9
at,nsa,m,2009.07,120000,5.2
at,nsa,m,2009.08,123000,5.3
at,nsa,m,2009.09,116000,5
at,nsa,m,2009.10,107000,4.6
at,nsa,m,2009.11,103000,4.5
at,nsa,m,2009.12,131000,5.7
at,nsa,m,2010.01,126000,5.6
at,nsa,m,2010.02,121000,5.4
at,nsa,m,2010.03,106000,4.7
at,nsa,m,2010.04,105000,4.6
at,nsa,m,2010.05,105000,4.6
at,nsa,m,2010.06,103000,4.4
at,nsa,m,2010.07,104000,4.5
at,nsa,m,2010.08,109000,4.7
at,nsa,m,2010.09,109000,4.7
at,nsa,m,2010.10,108000,4.6
at,nsa,m,2010.11,111000,4.8
at,nsa,m,2010.12,149000,6.4
at,sa,f,1993.01,81000,4.9
at,sa,f,1993.02,82000,4.9
at,sa,f,1993.03,83000,5
at,sa,f,1993.04,83000,5
at,sa,f,1993.05,84000,5.1
at,sa,f,1993.06,85000,5.1
at,sa,f,1993.07,85000,5.1
at,sa,f,1993.08,85000,5.1
at,sa,f,1993.09,85000,5.1
at,sa,f,1993.10,85000,5.1
at,sa,f,1993.11,85000,5.1
at,sa,f,1993.12,84000,5.1
at,sa,f,1994.01,84000,5
at,sa,f,1994.02,84000,5
at,sa,f,1994.03,83000,5
at,sa,f,1994.04,83000,5
at,sa,f,1994.05,83000,5
at,sa,f,1994.06,82000,4.9
at,sa,f,1994.07,81000,4.9
at,sa,f,1994.08,81000,4.9
at,sa,f,1994.09,82000,4.9
at,sa,f,1994.10,83000,5
at,sa,f,1994.11,83000,5
at,sa,f,1994.12,82000,5
at,sa,f,1995.01,82000,4.9
at,sa,f,1995.02,82000,4.9
at,sa,f,1995.03,82000,5
at,sa,f,1995.04,82000,5
at,sa,f,1995.05,82000,5
at,sa,f,1995.06,83000,5
at,sa,f,1995.07,82000,5
at,sa,f,1995.08,83000,5
at,sa,f,1995.09,83000,5
at,sa,f,1995.10,83000,5
at,sa,f,1995.11,84000,5.1
at,sa,f,1995.12,84000,5.1
at,sa,f,1996.01,84000,5.1
at,sa,f,1996.02,85000,5.2
at,sa,f,1996.03,86000,5.2
at,sa,f,1996.04,86000,5.3
at,sa,f,1996.05,87000,5.3
at,sa,f,1996.06,87000,5.3
at,sa,f,1996.07,87000,5.3
at,sa,f,1996.08,87000,5.3
at,sa,f,1996.09,87000,5.3
at,sa,f,1996.10,87000,5.3
at,sa,f,1996.11,87000,5.3
at,sa,f,1996.12,88000,5.3
at,sa,f,1997.01,88000,5.3
at,sa,f,1997.02,86000,5.3
at,sa,f,1997.03,86000,5.2
at,sa,f,1997.04,87000,5.3
at,sa,f,1997.05,88000,5.3
at,sa,f,1997.06,88000,5.3
at,sa,f,1997.07,89000,5.4
at,sa,f,1997.08,89000,5.4
at,sa,f,1997.09,90000,5.4
at,sa,f,1997.10,90000,5.5
at,sa,f,1997.11,91000,5.5
at,sa,f,1997.12,92000,5.5
at,sa,f,1998.01,92000,5.5
at,sa,f,1998.02,93000,5.6
at,sa,f,1998.03,94000,5.6
at,sa,f,1998.04,94000,5.6
at,sa,f,1998.05,93000,5.5
at,sa,f,1998.06,93000,5.5
at,sa,f,1998.07,91000,5.4
at,sa,f,1998.08,89000,5.3
at,sa,f,1998.09,88000,5.2
at,sa,f,1998.10,87000,5.2
at,sa,f,1998.11,85000,5.1
at,sa,f,1998.12,84000,5
at,sa,f,1999.01,82000,4.9
at,sa,f,1999.02,81000,4.8
at,sa,f,1999.03,80000,4.8
at,sa,f,1999.04,80000,4.8
at,sa,f,1999.05,80000,4.7
at,sa,f,1999.06,78000,4.7
at,sa,f,1999.07,79000,4.7
at,sa,f,1999.08,79000,4.7
at,sa,f,1999.09,78000,4.7
at,sa,f,1999.10,78000,4.6
at,sa,f,1999.11,78000,4.6
at,sa,f,1999.12,79000,4.7
at,sa,f,2000.01,78000,4.6
at,sa,f,2000.02,78000,4.6
at,sa,f,2000.03,76000,4.5
at,sa,f,2000.04,74000,4.4
at,sa,f,2000.05,73000,4.4
at,sa,f,2000.06,73000,4.3
at,sa,f,2000.07,72000,4.2
at,sa,f,2000.08,71000,4.2
at,sa,f,2000.09,70000,4.2
at,sa,f,2000.10,70000,4.2
at,sa,f,2000.11,70000,4.2
at,sa,f,2000.12,71000,4.2
at,sa,f,2001.01,70000,4.2
at,sa,f,2001.02,69000,4.1
at,sa,f,2001.03,69000,4.1
at,sa,f,2001.04,69000,4.1
at,sa,f,2001.05,70000,4.1
at,sa,f,2001.06,71000,4.2
at,sa,f,2001.07,72000,4.2
at,sa,f,2001.08,73000,4.2
at,sa,f,2001.09,74000,4.3
at,sa,f,2001.10,75000,4.3
at,sa,f,2001.11,76000,4.4
at,sa,f,2001.12,76000,4.4
at,sa,f,2002.01,77000,4.4
at,sa,f,2002.02,79000,4.5
at,sa,f,2002.03,79000,4.5
at,sa,f,2002.04,79000,4.5
at,sa,f,2002.05,79000,4.5
at,sa,f,2002.06,78000,4.5
at,sa,f,2002.07,78000,4.4
at,sa,f,2002.08,78000,4.5
at,sa,f,2002.09,78000,4.4
at,sa,f,2002.10,77000,4.4
at,sa,f,2002.11,76000,4.3
at,sa,f,2002.12,76000,4.3
at,sa,f,2003.01,76000,4.3
at,sa,f,2003.02,76000,4.3
at,sa,f,2003.03,76000,4.3
at,sa,f,2003.04,77000,4.4
at,sa,f,2003.05,79000,4.5
at,sa,f,2003.06,82000,4.7
at,sa,f,2003.07,83000,4.7
at,sa,f,2003.08,85000,4.8
at,sa,f,2003.09,86000,4.9
at,sa,f,2003.10,87000,5
at,sa,f,2003.11,88000,5
at,sa,f,2003.12,89000,5.1
at,sa,f,2004.01,91000,5.2
at,sa,f,2004.02,92000,5.2
at,sa,f,2004.03,94000,5.4
at,sa,f,2004.04,96000,5.4
at,sa,f,2004.05,96000,5.4
at,sa,f,2004.06,97000,5.4
at,sa,f,2004.07,96000,5.4
at,sa,f,2004.08,95000,5.4
at,sa,f,2004.09,97000,5.5
at,sa,f,2004.10,98000,5.5
at,sa,f,2004.11,100000,5.6
at,sa,f,2004.12,98000,5.4
at,sa,f,2005.01,97000,5.4
at,sa,f,2005.02,97000,5.3
at,sa,f,2005.03,97000,5.3
at,sa,f,2005.04,100000,5.5
at,sa,f,2005.05,100000,5.5
at,sa,f,2005.06,101000,5.5
at,sa,f,2005.07,101000,5.5
at,sa,f,2005.08,102000,5.6
at,sa,f,2005.09,102000,5.6
at,sa,f,2005.10,100000,5.4
at,sa,f,2005.11,100000,5.4
at,sa,f,2005.12,101000,5.5
at,sa,f,2006.01,106000,5.7
at,sa,f,2006.02,107000,5.7
at,sa,f,2006.03,106000,5.7
at,sa,f,2006.04,102000,5.5
at,sa,f,2006.05,102000,5.4
at,sa,f,2006.06,98000,5.2
at,sa,f,2006.07,94000,5
at,sa,f,2006.08,91000,4.8
at,sa,f,2006.09,90000,4.8
at,sa,f,2006.10,94000,5
at,sa,f,2006.11,98000,5.1
at,sa,f,2006.12,97000,5.1
at,sa,f,2007.01,97000,5.1
at,sa,f,2007.02,96000,5
at,sa,f,2007.03,96000,5
at,sa,f,2007.04,98000,5.2
at,sa,f,2007.05,99000,5.2
at,sa,f,2007.06,100000,5.2
at,sa,f,2007.07,103000,5.4
at,sa,f,2007.08,102000,5.3
at,sa,f,2007.09,96000,5
at,sa,f,2007.10,91000,4.7
at,sa,f,2007.11,86000,4.5
at,sa,f,2007.12,84000,4.4
at,sa,f,2008.01,86000,4.5
at,sa,f,2008.02,84000,4.4
at,sa,f,2008.03,81000,4.2
at,sa,f,2008.04,77000,4
at,sa,f,2008.05,74000,3.8
at,sa,f,2008.06,74000,3.8
at,sa,f,2008.07,75000,3.9
at,sa,f,2008.08,76000,3.9
at,sa,f,2008.09,79000,4.1
at,sa,f,2008.10,84000,4.3
at,sa,f,2008.11,87000,4.4
at,sa,f,2008.12,89000,4.5
at,sa,f,2009.01,86000,4.4
at,sa,f,2009.02,86000,4.4
at,sa,f,2009.03,87000,4.4
at,sa,f,2009.04,87000,4.4
at,sa,f,2009.05,90000,4.6
at,sa,f,2009.06,93000,4.7
at,sa,f,2009.07,97000,4.9
at,sa,f,2009.08,98000,5
at,sa,f,2009.09,96000,4.9
at,sa,f,2009.10,90000,4.6
at,sa,f,2009.11,85000,4.3
at,sa,f,2009.12,84000,4.3
at,sa,f,2010.01,83000,4.2
at,sa,f,2010.02,84000,4.2
at,sa,f,2010.03,83000,4.2
at,sa,f,2010.04,86000,4.3
at,sa,f,2010.05,85000,4.3
at,sa,f,2010.06,84000,4.2
at,sa,f,2010.07,79000,4
at,sa,f,2010.08,79000,4
at,sa,f,2010.09,81000,4.1
at,sa,f,2010.10,84000,4.2
at,sa,f,2010.11,86000,4.3
at,sa,f,2010.12,86000,4.3
at,sa,m,1993.01,64000,3
at,sa,m,1993.02,63000,3
at,sa,m,1993.03,65000,3
at,sa,m,1993.04,66000,3.1
at,sa,m,1993.05,66000,3.1
at,sa,m,1993.06,68000,3.2
at,sa,m,1993.07,69000,3.2
at,sa,m,1993.08,69000,3.2
at,sa,m,1993.09,69000,3.2
at,sa,m,1993.10,69000,3.2
at,sa,m,1993.11,68000,3.2
at,sa,m,1993.12,69000,3.2
at,sa,m,1994.01,67000,3.1
at,sa,m,1994.02,64000,3
at,sa,m,1994.03,63000,2.9
at,sa,m,1994.04,63000,2.9
at,sa,m,1994.05,64000,3
at,sa,m,1994.06,64000,3
at,sa,m,1994.07,64000,3
at,sa,m,1994.08,63000,3
at,sa,m,1994.09,63000,3
at,sa,m,1994.10,63000,3
at,sa,m,1994.11,62000,2.9
at,sa,m,1994.12,62000,2.9
at,sa,m,1995.01,63000,2.9
at,sa,m,1995.02,61000,2.9
at,sa,m,1995.03,60000,2.8
at,sa,m,1995.04,61000,2.9
at,sa,m,1995.05,63000,3
at,sa,m,1995.06,64000,3
at,sa,m,1995.07,65000,3.1
at,sa,m,1995.08,67000,3.2
at,sa,m,1995.09,68000,3.2
at,sa,m,1995.10,70000,3.3
at,sa,m,1995.11,72000,3.4
at,sa,m,1995.12,75000,3.6
at,sa,m,1996.01,76000,3.6
at,sa,m,1996.02,78000,3.7
at,sa,m,1996.03,82000,3.9
at,sa,m,1996.04,82000,3.9
at,sa,m,1996.05,78000,3.7
at,sa,m,1996.06,76000,3.6
at,sa,m,1996.07,75000,3.6
at,sa,m,1996.08,74000,3.5
at,sa,m,1996.09,73000,3.5
at,sa,m,1996.10,74000,3.5
at,sa,m,1996.11,73000,3.5
at,sa,m,1996.12,70000,3.3
at,sa,m,1997.01,71000,3.4
at,sa,m,1997.02,73000,3.5
at,sa,m,1997.03,73000,3.5
at,sa,m,1997.04,74000,3.5
at,sa,m,1997.05,76000,3.6
at,sa,m,1997.06,76000,3.6
at,sa,m,1997.07,77000,3.7
at,sa,m,1997.08,78000,3.7
at,sa,m,1997.09,78000,3.7
at,sa,m,1997.10,79000,3.8
at,sa,m,1997.11,80000,3.8
at,sa,m,1997.12,78000,3.7
at,sa,m,1998.01,78000,3.7
at,sa,m,1998.02,80000,3.8
at,sa,m,1998.03,81000,3.9
at,sa,m,1998.04,82000,3.9
at,sa,m,1998.05,82000,3.9
at,sa,m,1998.06,82000,3.9
at,sa,m,1998.07,81000,3.8
at,sa,m,1998.08,79000,3.8
at,sa,m,1998.09,78000,3.7
at,sa,m,1998.10,77000,3.6
at,sa,m,1998.11,76000,3.6
at,sa,m,1998.12,73000,3.4
