country_group,seasonality,age_group,month,unemployment,unemployment_rate
eu,nsa,y25-74,2007.09,12195000,5.8
eu,nsa,y25-74,2007.10,12275000,5.8
eu,nsa,y25-74,2007.11,12447000,5.9
eu,nsa,y25-74,2007.12,12588000,6
eu,nsa,y25-74,2008.01,13027000,6.2
eu,nsa,y25-74,2008.02,12885000,6.1
eu,nsa,y25-74,2008.03,12594000,6
eu,nsa,y25-74,2008.04,12470000,5.9
eu,nsa,y25-74,2008.05,12088000,5.7
eu,nsa,y25-74,2008.06,12187000,5.7
eu,nsa,y25-74,2008.07,11962000,5.6
eu,nsa,y25-74,2008.08,12078000,5.7
eu,nsa,y25-74,2008.09,12179000,5.7
eu,nsa,y25-74,2008.10,12618000,5.9
eu,nsa,y25-74,2008.11,13192000,6.2
eu,nsa,y25-74,2008.12,13929000,6.5
eu,nsa,y25-74,2009.01,15314000,7.2
eu,nsa,y25-74,2009.02,16103000,7.5
eu,nsa,y25-74,2009.03,16235000,7.6
eu,nsa,y25-74,2009.04,16105000,7.5
eu,nsa,y25-74,2009.05,15922000,7.4
eu,nsa,y25-74,2009.06,15856000,7.4
eu,nsa,y25-74,2009.07,15938000,7.4
eu,nsa,y25-74,2009.08,16110000,7.5
eu,nsa,y25-74,2009.09,16339000,7.6
eu,nsa,y25-74,2009.10,16756000,7.8
eu,nsa,y25-74,2009.11,17029000,7.9
eu,nsa,y25-74,2009.12,17481000,8.2
eu,nsa,y25-74,2010.01,18706000,8.7
eu,nsa,y25-74,2010.02,18901000,8.8
eu,nsa,y25-74,2010.03,18629000,8.7
eu,nsa,y25-74,2010.04,18079000,8.4
eu,nsa,y25-74,2010.05,17681000,8.2
eu,nsa,y25-74,2010.06,17217000,8
eu,nsa,y25-74,2010.07,17111000,7.9
eu,nsa,y25-74,2010.08,16970000,7.9
eu,nsa,y25-74,2010.09,17140000,7.9
eu,nsa,y25-74,2010.10,17581000,8.1
eu,nsa,y25-74,2010.11,17508000,8.1
eu,nsa,y25-74,2010.12,17770000,8.2
eu,nsa,y_lt25,2000.01,5200000,18.4
eu,nsa,y_lt25,2000.02,5186000,18.4
eu,nsa,y_lt25,2000.03,5094000,18.1
eu,nsa,y_lt25,2000.04,4848000,17.2
eu,nsa,y_lt25,2000.05,4811000,16.9
eu,nsa,y_lt25,2000.06,4902000,17
eu,nsa,y_lt25,2000.07,5032000,16.9
eu,nsa,y_lt25,2000.08,5151000,17.3
eu,nsa,y_lt25,2000.09,5119000,17.2
eu,nsa,y_lt25,2000.10,5045000,17.3
eu,nsa,y_lt25,2000.11,5001000,17.2
eu,nsa,y_lt25,2000.12,4900000,16.9
eu,nsa,y_lt25,2001.01,5022000,17.6
eu,nsa,y_lt25,2001.02,5055000,17.7
eu,nsa,y_lt25,2001.03,4987000,17.6
eu,nsa,y_lt25,2001.04,4748000,16.8
eu,nsa,y_lt25,2001.05,4799000,16.9
eu,nsa,y_lt25,2001.06,4931000,17
eu,nsa,y_lt25,2001.07,5045000,16.9
eu,nsa,y_lt25,2001.08,5169000,17.3
eu,nsa,y_lt25,2001.09,5158000,17.3
eu,nsa,y_lt25,2001.10,5169000,17.8
eu,nsa,y_lt25,2001.11,5135000,17.8
eu,nsa,y_lt25,2001.12,5047000,17.6
eu,nsa,y_lt25,2002.01,5235000,18.5
eu,nsa,y_lt25,2002.02,5217000,18.5
eu,nsa,y_lt25,2002.03,5108000,18.2
eu,nsa,y_lt25,2002.04,4895000,17.5
eu,nsa,y_lt25,2002.05,4894000,17.4
eu,nsa,y_lt25,2002.06,5033000,17.6
eu,nsa,y_lt25,2002.07,5187000,17.6
eu,nsa,y_lt25,2002.08,5308000,18
eu,nsa,y_lt25,2002.09,5275000,18
eu,nsa,y_lt25,2002.10,5226000,18.4
eu,nsa,y_lt25,2002.11,5157000,18.3
eu,nsa,y_lt25,2002.12,5031000,18
eu,nsa,y_lt25,2003.01,5162000,18.8
eu,nsa,y_lt25,2003.02,5120000,18.7
eu,nsa,y_lt25,2003.03,5048000,18.5
eu,nsa,y_lt25,2003.04,4914000,17.9
eu,nsa,y_lt25,2003.05,4960000,17.9
eu,nsa,y_lt25,2003.06,5174000,18.3
eu,nsa,y_lt25,2003.07,5223000,18.1
eu,nsa,y_lt25,2003.08,5263000,18.2
eu,nsa,y_lt25,2003.09,5213000,18.2
eu,nsa,y_lt25,2003.10,5013000,18
eu,nsa,y_lt25,2003.11,4916000,17.8
eu,nsa,y_lt25,2003.12,4833000,17.6
eu,nsa,y_lt25,2004.01,5085000,18.6
eu,nsa,y_lt25,2004.02,5176000,18.9
eu,nsa,y_lt25,2004.03,5163000,18.8
eu,nsa,y_lt25,2004.04,4964000,18.3
eu,nsa,y_lt25,2004.05,5058000,18.4
eu,nsa,y_lt25,2004.06,5241000,18.6
eu,nsa,y_lt25,2004.07,5282000,18.3
eu,nsa,y_lt25,2004.08,5372000,18.6
eu,nsa,y_lt25,2004.09,5432000,18.9
eu,nsa,y_lt25,2004.10,5251000,18.7
eu,nsa,y_lt25,2004.11,5202000,18.7
eu,nsa,y_lt25,2004.12,4992000,18.2
eu,nsa,y_lt25,2005.01,5103000,18.8
eu,nsa,y_lt25,2005.02,5212000,19.2
eu,nsa,y_lt25,2005.03,5114000,18.9
eu,nsa,y_lt25,2005.04,4854000,18.1
eu,nsa,y_lt25,2005.05,5000000,18.4
eu,nsa,y_lt25,2005.06,5096000,18.3
eu,nsa,y_lt25,2005.07,5163000,18.2
eu,nsa,y_lt25,2005.08,5187000,18.3
eu,nsa,y_lt25,2005.09,5341000,18.8
eu,nsa,y_lt25,2005.10,5079000,18.3
eu,nsa,y_lt25,2005.11,4947000,18
eu,nsa,y_lt25,2005.12,4768000,17.6
eu,nsa,y_lt25,2006.01,4950000,18.5
eu,nsa,y_lt25,2006.02,4952000,18.6
eu,nsa,y_lt25,2006.03,4785000,17.9
eu,nsa,y_lt25,2006.04,4550000,17.1
eu,nsa,y_lt25,2006.05,4617000,17.2
eu,nsa,y_lt25,2006.06,4621000,16.8
eu,nsa,y_lt25,2006.07,4779000,16.8
eu,nsa,y_lt25,2006.08,4840000,17.1
eu,nsa,y_lt25,2006.09,4851000,17.2
eu,nsa,y_lt25,2006.10,4700000,17
eu,nsa,y_lt25,2006.11,4486000,16.4
eu,nsa,y_lt25,2006.12,4265000,15.8
eu,nsa,y_lt25,2007.01,4409000,16.6
eu,nsa,y_lt25,2007.02,4358000,16.4
eu,nsa,y_lt25,2007.03,4136000,15.8
eu,nsa,y_lt25,2007.04,4043000,15.3
eu,nsa,y_lt25,2007.05,4026000,15.1
eu,nsa,y_lt25,2007.06,4218000,15.4
eu,nsa,y_lt25,2007.07,4232000,15.1
eu,nsa,y_lt25,2007.08,4383000,15.6
eu,nsa,y_lt25,2007.09,4340000,15.5
eu,nsa,y_lt25,2007.10,4133000,15.1
eu,nsa,y_lt25,2007.11,3967000,14.6
eu,nsa,y_lt25,2007.12,3887000,14.5
eu,nsa,y_lt25,2008.01,3974000,15
eu,nsa,y_lt25,2008.02,4009000,15.1
eu,nsa,y_lt25,2008.03,3946000,15
eu,nsa,y_lt25,2008.04,3891000,14.7
eu,nsa,y_lt25,2008.05,3984000,14.9
eu,nsa,y_lt25,2008.06,4244000,15.5
eu,nsa,y_lt25,2008.07,4328000,15.5
eu,nsa,y_lt25,2008.08,4364000,15.6
eu,nsa,y_lt25,2008.09,4422000,15.9
eu,nsa,y_lt25,2008.10,4386000,16.1
eu,nsa,y_lt25,2008.11,4400000,16.4
eu,nsa,y_lt25,2008.12,4366000,16.5
eu,nsa,y_lt25,2009.01,4658000,17.8
eu,nsa,y_lt25,2009.02,5010000,19.1
eu,nsa,y_lt25,2009.03,5180000,19.7
eu,nsa,y_lt25,2009.04,5068000,19.4
eu,nsa,y_lt25,2009.05,5087000,19.3
eu,nsa,y_lt25,2009.06,5194000,19.5
eu,nsa,y_lt25,2009.07,5387000,19.8
eu,nsa,y_lt25,2009.08,5435000,20
eu,nsa,y_lt25,2009.09,5652000,20.9
eu,nsa,y_lt25,2009.10,5421000,20.5
eu,nsa,y_lt25,2009.11,5264000,20.2
eu,nsa,y_lt25,2009.12,5068000,19.8
eu,nsa,y_lt25,2010.01,5345000,21.1
eu,nsa,y_lt25,2010.02,5506000,21.7
eu,nsa,y_lt25,2010.03,5380000,21.3
eu,nsa,y_lt25,2010.04,5328000,21
eu,nsa,y_lt25,2010.05,5220000,20.4
eu,nsa,y_lt25,2010.06,5197000,20.1
eu,nsa,y_lt25,2010.07,5258000,19.9
eu,nsa,y_lt25,2010.08,5297000,20.1
eu,nsa,y_lt25,2010.09,5517000,20.9
eu,nsa,y_lt25,2010.10,5486000,21
eu,nsa,y_lt25,2010.11,5360000,20.8
eu,nsa,y_lt25,2010.12,5195000,20.5
eu,sa,y25-74,2000.01,14849000,7.6
eu,sa,y25-74,2000.02,14807000,7.6
eu,sa,y25-74,2000.03,14760000,7.5
eu,sa,y25-74,2000.04,14687000,7.5
eu,sa,y25-74,2000.05,14624000,7.5
eu,sa,y25-74,2000.06,14556000,7.4
eu,sa,y25-74,2000.07,14471000,7.4
eu,sa,y25-74,2000.08,14414000,7.3
eu,sa,y25-74,2000.09,14357000,7.3
eu,sa,y25-74,2000.10,14214000,7.2
eu,sa,y25-74,2000.11,14164000,7.2
eu,sa,y25-74,2000.12,14116000,7.2
eu,sa,y25-74,2001.01,14111000,7.2
eu,sa,y25-74,2001.02,14100000,7.2
eu,sa,y25-74,2001.03,14111000,7.2
eu,sa,y25-74,2001.04,14130000,7.2
eu,sa,y25-74,2001.05,14216000,7.2
eu,sa,y25-74,2001.06,14230000,7.2
eu,sa,y25-74,2001.07,14218000,7.2
eu,sa,y25-74,2001.08,14231000,7.2
eu,sa,y25-74,2001.09,14281000,7.2
eu,sa,y25-74,2001.10,14378000,7.3
eu,sa,y25-74,2001.11,14467000,7.3
eu,sa,y25-74,2001.12,14542000,7.3
eu,sa,y25-74,2002.01,14711000,7.4
eu,sa,y25-74,2002.02,14788000,7.5
eu,sa,y25-74,2002.03,14825000,7.5
eu,sa,y25-74,2002.04,14950000,7.5
eu,sa,y25-74,2002.05,15013000,7.6
eu,sa,y25-74,2002.06,15114000,7.6
eu,sa,y25-74,2002.07,15238000,7.7
eu,sa,y25-74,2002.08,15317000,7.7
eu,sa,y25-74,2002.09,15408000,7.7
eu,sa,y25-74,2002.10,15425000,7.7
eu,sa,y25-74,2002.11,15473000,7.8
eu,sa,y25-74,2002.12,15474000,7.8
eu,sa,y25-74,2003.01,15466000,7.7
eu,sa,y25-74,2003.02,15472000,7.7
eu,sa,y25-74,2003.03,15501000,7.7
eu,sa,y25-74,2003.04,15390000,7.7
eu,sa,y25-74,2003.05,15416000,7.7
eu,sa,y25-74,2003.06,15465000,7.7
eu,sa,y25-74,2003.07,15521000,7.7
eu,sa,y25-74,2003.08,15571000,7.7
eu,sa,y25-74,2003.09,15595000,7.7
eu,sa,y25-74,2003.10,15632000,7.8
eu,sa,y25-74,2003.11,15676000,7.8
eu,sa,y25-74,2003.12,15729000,7.8
eu,sa,y25-74,2004.01,15801000,7.8
eu,sa,y25-74,2004.02,15785000,7.8
eu,sa,y25-74,2004.03,15826000,7.8
eu,sa,y25-74,2004.04,15767000,7.8
eu,sa,y25-74,2004.05,15790000,7.8
eu,sa,y25-74,2004.06,15734000,7.7
eu,sa,y25-74,2004.07,15781000,7.8
eu,sa,y25-74,2004.08,15753000,7.7
eu,sa,y25-74,2004.09,15803000,7.8
eu,sa,y25-74,2004.10,15790000,7.7
eu,sa,y25-74,2004.11,15821000,7.7
eu,sa,y25-74,2004.12,15882000,7.8
eu,sa,y25-74,2005.01,15741000,7.7
eu,sa,y25-74,2005.02,15810000,7.7
eu,sa,y25-74,2005.03,15880000,7.7
eu,sa,y25-74,2005.04,15846000,7.7
eu,sa,y25-74,2005.05,15820000,7.7
eu,sa,y25-74,2005.06,15817000,7.7
eu,sa,y25-74,2005.07,15634000,7.6
eu,sa,y25-74,2005.08,15597000,7.6
eu,sa,y25-74,2005.09,15612000,7.6
eu,sa,y25-74,2005.10,15665000,7.6
eu,sa,y25-74,2005.11,15585000,7.5
eu,sa,y25-74,2005.12,15432000,7.5
eu,sa,y25-74,2006.01,15348000,7.4
eu,sa,y25-74,2006.02,15205000,7.3
eu,sa,y25-74,2006.03,15103000,7.3
eu,sa,y25-74,2006.04,14970000,7.2
eu,sa,y25-74,2006.05,14795000,7.1
eu,sa,y25-74,2006.06,14644000,7
eu,sa,y25-74,2006.07,14492000,7
eu,sa,y25-74,2006.08,14393000,6.9
eu,sa,y25-74,2006.09,14231000,6.8
eu,sa,y25-74,2006.10,14056000,6.7
eu,sa,y25-74,2006.11,13889000,6.7
eu,sa,y25-74,2006.12,13698000,6.6
eu,sa,y25-74,2007.01,13450000,6.4
eu,sa,y25-74,2007.02,13270000,6.3
eu,sa,y25-74,2007.03,13090000,6.3
eu,sa,y25-74,2007.04,12920000,6.2
eu,sa,y25-74,2007.05,12896000,6.1
eu,sa,y25-74,2007.06,12738000,6.1
eu,sa,y25-74,2007.07,12803000,6.1
eu,sa,y25-74,2007.08,12686000,6
eu,sa,y25-74,2007.09,12618000,6
eu,sa,y25-74,2007.10,12520000,5.9
eu,sa,y25-74,2007.11,12416000,5.9
eu,sa,y25-74,2007.12,12449000,5.9
eu,sa,y25-74,2008.01,12221000,5.8
eu,sa,y25-74,2008.02,12066000,5.7
eu,sa,y25-74,2008.03,11979000,5.7
eu,sa,y25-74,2008.04,12164000,5.7
eu,sa,y25-74,2008.05,12279000,5.8
eu,sa,y25-74,2008.06,12456000,5.9
eu,sa,y25-74,2008.07,12544000,5.9
eu,sa,y25-74,2008.08,12727000,6
eu,sa,y25-74,2008.09,12840000,6
eu,sa,y25-74,2008.10,13121000,6.1
eu,sa,y25-74,2008.11,13426000,6.3
eu,sa,y25-74,2008.12,13816000,6.5
eu,sa,y25-74,2009.01,14367000,6.7
eu,sa,y25-74,2009.02,14914000,7
eu,sa,y25-74,2009.03,15515000,7.3
eu,sa,y25-74,2009.04,15815000,7.4
eu,sa,y25-74,2009.05,16130000,7.5
eu,sa,y25-74,2009.06,16361000,7.6
eu,sa,y25-74,2009.07,16611000,7.8
eu,sa,y25-74,2009.08,16757000,7.8
eu,sa,y25-74,2009.09,17032000,7.9
eu,sa,y25-74,2009.10,17150000,8
eu,sa,y25-74,2009.11,17311000,8.1
eu,sa,y25-74,2009.12,17411000,8.1
eu,sa,y25-74,2010.01,17591000,8.2
eu,sa,y25-74,2010.02,17683000,8.2
eu,sa,y25-74,2010.03,17732000,8.3
eu,sa,y25-74,2010.04,17762000,8.3
eu,sa,y25-74,2010.05,17796000,8.3
eu,sa,y25-74,2010.06,17803000,8.3
eu,sa,y25-74,2010.07,17876000,8.3
eu,sa,y25-74,2010.08,17877000,8.3
eu,sa,y25-74,2010.09,17868000,8.3
eu,sa,y25-74,2010.10,17889000,8.3
eu,sa,y25-74,2010.11,17796000,8.2
eu,sa,y25-74,2010.12,17764000,8.2
eu,sa,y_lt25,2000.01,5105000,17.7
eu,sa,y_lt25,2000.02,5102000,17.7
eu,sa,y_lt25,2000.03,5094000,17.7
eu,sa,y_lt25,2000.04,5085000,17.6
eu,sa,y_lt25,2000.05,5047000,17.5
eu,sa,y_lt25,2000.06,5031000,17.4
eu,sa,y_lt25,2000.07,5014000,17.4
eu,sa,y_lt25,2000.08,5005000,17.3
eu,sa,y_lt25,2000.09,4998000,17.3
eu,sa,y_lt25,2000.10,4950000,17
eu,sa,y_lt25,2000.11,4954000,17
eu,sa,y_lt25,2000.12,4953000,17
eu,sa,y_lt25,2001.01,4926000,17
eu,sa,y_lt25,2001.02,4987000,17.1
eu,sa,y_lt25,2001.03,5005000,17.2
eu,sa,y_lt25,2001.04,4982000,17.2
eu,sa,y_lt25,2001.05,5013000,17.3
eu,sa,y_lt25,2001.06,5011000,17.3
eu,sa,y_lt25,2001.07,5002000,17.3
eu,sa,y_lt25,2001.08,5024000,17.3
eu,sa,y_lt25,2001.09,5034000,17.4
eu,sa,y_lt25,2001.10,5075000,17.6
eu,sa,y_lt25,2001.11,5087000,17.7
eu,sa,y_lt25,2001.12,5099000,17.7
eu,sa,y_lt25,2002.01,5137000,17.9
eu,sa,y_lt25,2002.02,5159000,17.9
eu,sa,y_lt25,2002.03,5135000,17.9
eu,sa,y_lt25,2002.04,5125000,17.9
eu,sa,y_lt25,2002.05,5111000,17.8
eu,sa,y_lt25,2002.06,5136000,17.9
eu,sa,y_lt25,2002.07,5145000,18
eu,sa,y_lt25,2002.08,5150000,18.1
eu,sa,y_lt25,2002.09,5140000,18.1
eu,sa,y_lt25,2002.10,5118000,18.1
eu,sa,y_lt25,2002.11,5121000,18.2
eu,sa,y_lt25,2002.12,5103000,18.2
eu,sa,y_lt25,2003.01,5098000,18.2
eu,sa,y_lt25,2003.02,5086000,18.2
eu,sa,y_lt25,2003.03,5088000,18.2
eu,sa,y_lt25,2003.04,5147000,18.3
eu,sa,y_lt25,2003.05,5145000,18.3
eu,sa,y_lt25,2003.06,5178000,18.4
eu,sa,y_lt25,2003.07,5100000,18.3
eu,sa,y_lt25,2003.08,5066000,18.2
eu,sa,y_lt25,2003.09,5055000,18.2
eu,sa,y_lt25,2003.10,4981000,18
eu,sa,y_lt25,2003.11,4982000,18
eu,sa,y_lt25,2003.12,5005000,18.1
eu,sa,y_lt25,2004.01,5129000,18.3
eu,sa,y_lt25,2004.02,5160000,18.4
eu,sa,y_lt25,2004.03,5186000,18.4
eu,sa,y_lt25,2004.04,5202000,18.6
eu,sa,y_lt25,2004.05,5198000,18.6
eu,sa,y_lt25,2004.06,5206000,18.7
eu,sa,y_lt25,2004.07,5166000,18.5
eu,sa,y_lt25,2004.08,5171000,18.6
eu,sa,y_lt25,2004.09,5195000,18.7
eu,sa,y_lt25,2004.10,5177000,18.6
eu,sa,y_lt25,2004.11,5212000,18.7
eu,sa,y_lt25,2004.12,5202000,18.7
eu,sa,y_lt25,2005.01,5127000,18.5
eu,sa,y_lt25,2005.02,5153000,18.6
eu,sa,y_lt25,2005.03,5156000,18.6
eu,sa,y_lt25,2005.04,5162000,18.7
eu,sa,y_lt25,2005.05,5134000,18.6
eu,sa,y_lt25,2005.06,5114000,18.5
eu,sa,y_lt25,2005.07,5056000,18.4
eu,sa,y_lt25,2005.08,5025000,18.3
eu,sa,y_lt25,2005.09,5026000,18.3
eu,sa,y_lt25,2005.10,5004000,18.2
eu,sa,y_lt25,2005.11,4931000,18
eu,sa,y_lt25,2005.12,4937000,18
eu,sa,y_lt25,2006.01,4900000,17.9
eu,sa,y_lt25,2006.02,4896000,17.9
eu,sa,y_lt25,2006.03,4866000,17.8
eu,sa,y_lt25,2006.04,4838000,17.7
eu,sa,y_lt25,2006.05,4796000,17.5
eu,sa,y_lt25,2006.06,4691000,17.1
eu,sa,y_lt25,2006.07,4647000,17
eu,sa,y_lt25,2006.08,4649000,17
eu,sa,y_lt25,2006.09,4607000,16.8
eu,sa,y_lt25,2006.10,4544000,16.7
eu,sa,y_lt25,2006.11,4533000,16.6
eu,sa,y_lt25,2006.12,4455000,16.3
eu,sa,y_lt25,2007.01,4400000,16.2
eu,sa,y_lt25,2007.02,4302000,15.9
eu,sa,y_lt25,2007.03,4246000,15.7
eu,sa,y_lt25,2007.04,4181000,15.5
eu,sa,y_lt25,2007.05,4170000,15.4
eu,sa,y_lt25,2007.06,4188000,15.4
eu,sa,y_lt25,2007.07,4176000,15.4
eu,sa,y_lt25,2007.08,4198000,15.5
eu,sa,y_lt25,2007.09,4129000,15.2
eu,sa,y_lt25,2007.10,4089000,15.1
eu,sa,y_lt25,2007.11,4028000,14.8
eu,sa,y_lt25,2007.12,4041000,14.9
eu,sa,y_lt25,2008.01,4025000,14.8
eu,sa,y_lt25,2008.02,3994000,14.7
eu,sa,y_lt25,2008.03,3992000,14.7
eu,sa,y_lt25,2008.04,4031000,14.9
eu,sa,y_lt25,2008.05,4100000,15.2
eu,sa,y_lt25,2008.06,4186000,15.5
eu,sa,y_lt25,2008.07,4199000,15.5
eu,sa,y_lt25,2008.08,4211000,15.5
eu,sa,y_lt25,2008.09,4300000,15.9
eu,sa,y_lt25,2008.10,4378000,16.2
eu,sa,y_lt25,2008.11,4515000,16.7
eu,sa,y_lt25,2008.12,4587000,17
eu,sa,y_lt25,2009.01,4758000,17.7
eu,sa,y_lt25,2009.02,4917000,18.3
eu,sa,y_lt25,2009.03,5047000,18.8
eu,sa,y_lt25,2009.04,5120000,19.2
eu,sa,y_lt25,2009.05,5194000,19.5
eu,sa,y_lt25,2009.06,5210000,19.7
eu,sa,y_lt25,2009.07,5334000,20.2
eu,sa,y_lt25,2009.08,5393000,20.5
eu,sa,y_lt25,2009.09,5410000,20.6
eu,sa,y_lt25,2009.10,5375000,20.6
eu,sa,y_lt25,2009.11,5339000,20.5
eu,sa,y_lt25,2009.12,5335000,20.5
eu,sa,y_lt25,2010.01,5357000,20.7
eu,sa,y_lt25,2010.02,5373000,20.8
eu,sa,y_lt25,2010.03,5342000,20.6
eu,sa,y_lt25,2010.04,5371000,20.7
eu,sa,y_lt25,2010.05,5351000,20.7
eu,sa,y_lt25,2010.06,5296000,20.5
eu,sa,y_lt25,2010.07,5257000,20.4
eu,sa,y_lt25,2010.08,5234000,20.4
eu,sa,y_lt25,2010.09,5305000,20.6
eu,sa,y_lt25,2010.10,5371000,20.9
eu,sa,y_lt25,2010.11,5402000,21
eu,sa,y_lt25,2010.12,5415000,21
eu,trend,y25-74,2000.01,14845000,7.6
eu,trend,y25-74,2000.02,14801000,7.6
eu,trend,y25-74,2000.03,14763000,7.5
eu,trend,y25-74,2000.04,14674000,7.5
eu,trend,y25-74,2000.05,14606000,7.5
eu,trend,y25-74,2000.06,14545000,7.4
eu,trend,y25-74,2000.07,14458000,7.4
eu,trend,y25-74,2000.08,14403000,7.3
eu,trend,y25-74,2000.09,14349000,7.3
eu,trend,y25-74,2000.10,14245000,7.2
eu,trend,y25-74,2000.11,14187000,7.2
eu,trend,y25-74,2000.12,14139000,7.2
eu,trend,y25-74,2001.01,14119000,7.2
eu,trend,y25-74,2001.02,14115000,7.2
eu,trend,y25-74,2001.03,14127000,7.2
eu,trend,y25-74,2001.04,14126000,7.2
eu,trend,y25-74,2001.05,14174000,7.2
eu,trend,y25-74,2001.06,14211000,7.2
eu,trend,y25-74,2001.07,14222000,7.2
eu,trend,y25-74,2001.08,14246000,7.2
eu,trend,y25-74,2001.09,14296000,7.2
eu,trend,y25-74,2001.10,14410000,7.3
eu,trend,y25-74,2001.11,14504000,7.3
eu,trend,y25-74,2001.12,14587000,7.4
eu,trend,y25-74,2002.01,14658000,7.4
eu,trend,y25-74,2002.02,14704000,7.4
eu,trend,y25-74,2002.03,14775000,7.5
eu,trend,y25-74,2002.04,14955000,7.5
eu,trend,y25-74,2002.05,15079000,7.6
eu,trend,y25-74,2002.06,15165000,7.6
eu,trend,y25-74,2002.07,15249000,7.7
eu,trend,y25-74,2002.08,15335000,7.7
eu,trend,y25-74,2002.09,15403000,7.7
eu,trend,y25-74,2002.10,15423000,7.7
