access,addr.source:housenumber,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:unit,address,alt_name,alt_name_1,amenity,atm,atm:operator,building,building:levels,building:material,capacity,construction,contact:email,contact:facebook,contact:google_plus,contact:instagram,contact:phone,contact:website,cuisine,delivery,description,designation,diet:halal,diet:vegan,diet:vegetarian,disused,drive_in,drive_through,ele,email,ethnicity,fax,fixme,food,gnis:county_id,gnis:created,gnis:edited,gnis:feature_id,gnis:state_id,happy_hour,inside_atm,internet_access,internet_access:fee,lat,layer,live_music,lon,microbrewery,name,name:en,name:zh,note,old_name,opening_hours,operator,outdoor_seating,payment:bitcoin,payment:discover_card,payment:litecoin,payment:mastercard,payment:visa,phone,pizza,postal_code,pupuseria,shop,smoking,takeaway,taqueria,toilets:wheelchair,type,url,website,wheelchair,wheelchair:description,wifi,wikipedia,wpt_description,yelp
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7819219,,,-122.387865,,Carmen's Pier 40 Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7817082,,,-122.3942534,,Caffe Centro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,108,,,,South Park,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7816118,,,-122.3943834,,South Park Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,survey,,,,,415,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7796465,,,-122.39465,,Koh Samui and the Monkey Restaurand and Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,400,,94103,,Valencia Street,,400 Valencia Street,,,restaurant,,,,,,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,37.7664478,,,-122.4222039,,Little Star Pizza,,,,,,,,,,,,,14155517827,,,,,,,,,,,http://www.littlestarpizza.com,,,,,,
,,,,,,1398,,,,Grant Avenue,,,,,restaurant,,,,,,,,,,,,,,thai,,,,,,,,,,,,,,,,,,,,,,,,,37.7995861,,,-122.4072909,,Dupont Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,540,,,,Green Street,,,,,restaurant,,,,,,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,37.7997484,,,-122.4079134,,Golden Boy Pizza,,,,,,,,,,,,,,,,,,,,,,,,www.GoldenBoyPizza.com,,,,,,
,,,,,,478,,,,Green Street,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7998993,,,-122.4070903,,Bocce Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,470,,,,Green Street,,,,,restaurant,,,,,,,,,,,,,,persian,,,,,,,,,,,,,,,,,,,,,,,,,37.7998833,,,-122.4069896,,Maykadeh Persian Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1042,,,,Kearny Street,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,(415) 989-9415,,,,,,,,,,,,37.7977838,,,-122.4052952,,Tommaso's Ristorante Italiano,,,,,Tu-Sa 17:00-22:30; Su 16:00-21:30,,,,,,,,(415) 398-9696,,,,,,,,,,,http://tommasos.com/,,,,,,
,,,,,,1556,,,,Stockton Street,,,,,restaurant,,,,,,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,37.8002363,,,-122.4090363,,Tony's Coal Fired Pizza & Slice House,,,,,Mo-Tu 12:00–20:00; We-Sa 11:30–23:30,,,,,,,,,,,,,,,,,,,http://www.tonyscoalfired.com/,,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7862868,,,-122.4536978,,Pasta Pomodoro,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7867388,,,-122.4516267,,A.G. Ferrari Foods,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7866207,,,-122.4511349,,Rigolo,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,burger,,,,,,,,,,,,,,,,,,,,,,,,,37.7867354,,,-122.4504467,,Asqew Grill,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7882648,,,-122.4467715,,Osteria Cucina Toscana,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.788565,,,-122.447018,,Garibaldi's,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,574,,,,Green Street,,,,,restaurant,,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,37.7996803,,,-122.4087027,,Cafe Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,075,06/14/2000,,218202,06,,,,,37.7537079,,,-122.4384815,,Alvarado Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,075,01/19/1981,,218313,06,,,,,37.7802073,,,-122.4463603,,Anza School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Doctor Charles R Drew Elementary School,,school,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,075,06/14/2000,,218768,06,,,,,37.7318048,,,-122.3938696,,Dr. Charles R. Drew College Preparatory Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,075,01/19/1981,,220537,06,,,,,37.7106428,,,-122.4006765,,Candlestick Cove School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,075,06/14/2000,,221214,06,,,,,37.7204871,,,-122.4294158,,Cleveland Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,075,06/14/2000,,221823,06,,,,,37.7480166,,,-122.4822567,,Cabrillo School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,075,06/14/2000,09/18/2007,222561,06,,,,,37.7590968,,,-122.4366378,,Harvey Milk Civil Rights Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,075,06/14/2000,,223037,06,,,,,37.7182647,,,-122.4080267,,El Dorado Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,075,01/19/1981,,223230,06,,,,,37.7154874,,,-122.4355271,,Epiphany School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,075,06/14/2000,09/18/2007,223817,06,,,,,37.7831493,,,-122.4375096,,Benjamin Franklin Middle School (historical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,075,01/19/1981,,223830,06,,,,,37.764652,,,-122.4094153,,Franklin School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,075,01/19/1981,,223887,06,,,,,37.7349307,,,-122.4008042,,Fremont School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,075,01/19/1981,,223888,06,,,,,37.7774296,,,-122.4410824,,Fremont School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,075,01/19/1981,09/18/2007,224010,06,,,,,37.8037507,,,-122.4243753,,Galileo Academy of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,075,06/14/2000,,224216,06,,,,,37.733197,,,-122.4356939,,Glen Park Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,075,01/19/1981,,224356,06,,,,,37.792429,,,-122.4255268,,Gough School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,075,01/19/1981,,224432,06,,,,,37.7924291,,,-122.4444159,,Grant School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,075,06/14/2000,,224697,06,,,,,37.7101499,,,-122.4340763,,Guadalupe Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,075,01/19/1981,,225795,06,,,,,37.7304863,,,-122.379415,,Hunters Point Number Two School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,625,,94110,,Holly Park Circle,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,075,06/14/2000,,226399,06,,,,,37.7369365,,,-122.4215447,,Junipero Serra Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,limited,They keep trash and mops and vacuums in the elevator and the elevator is locked. Despite repeated complaints.,,,,
,,,,,,220,,94132,,Middlefield Drive,,220 Middlefield Drive,,,school,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,075,06/14/2000,,226817,06,,,,,37.7301624,,,-122.4859713,,Lakeshore Alternative Elementary School,,,,,,SFUSD,,,,,,,+1 (415) 759-2825,,,,,,,,,,,http://lakeshoreelementary.org/,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,075,06/14/2000,,226971,06,,,,,37.7577083,,,-122.4894161,,Lawton Alternative Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,075,01/19/1981,,227497,06,,,,,37.7749296,,,-122.4341379,,Lombard School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,075,06/14/2000,,227625,06,,,,,37.7104876,,,-122.4471941,,Longfellow Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,081,06/14/2000,,228639,06,,,,,37.7021543,,,-122.4135826,,Bayshore Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,075,06/14/2000,,228932,06,,,,,37.7257646,,,-122.4316381,,Monroe Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,075,01/19/1981,,229822,06,,,,,37.7570398,,,-122.4126788,,George Moscone Elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,081,01/19/1981,,230032,06,,,,,37.7028393,,,-122.4920078,,Olympia School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,075,06/14/2000,,230119,06,,,,,37.7163209,,,-122.4669165,,Jose Ortega Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,075,06/14/2000,,230418,06,,,,,37.7365975,,,-122.4133043,,Paul Revere Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,081,01/19/1981,,230544,06,,,,,37.706544,,,-122.4503119,,Pershing School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,76,,,,attributes should be added to the area feature for the school,,075,01/19/1981,,232132,06,,,,,37.763299,,,-122.471525,,Saint Anne School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,075,06/14/2000,,232967,06,,,,,37.7143161,,,-122.4595674,,Sheridan Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,075,06/14/2000,,235397,06,,,,,37.7529857,,,-122.3991374,,Starr King Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,075,06/14/2000,,236055,06,,,,,37.7275302,,,-122.4073191,,Edward R Taylor Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,075,06/14/2000,,236713,06,,,,,37.7549303,,,-122.4435823,,Rooftop Alternative Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,075,06/14/2000,,237392,06,,,,,37.7605672,,,-122.395841,,Daniel Webster Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,081,06/14/2000,,237552,06,,,,,37.7052352,,,-122.4794268,,Westlake Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,075,11/01/1994,01/04/2008,1655322,06,,,,,37.7878378,,,-122.4006419,,Academy of Art University,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,075,11/01/1994,,1655344,06,,,,,37.7921718,,,-122.4138647,,Cathedral School for Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,075,11/01/1994,,1655359,06,,,,,37.79104,,,-122.4060821,,Cogswell College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,075,11/01/1994,,1655360,06,,,,,37.7546523,,,-122.4199709,,Collegio De La Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,075,11/01/1994,,1655402,06,,,,,37.7546523,,,-122.4199709,,Gompers High School (historical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,075,11/01/1994,,1655405,06,,,,,37.7699298,,,-122.4452491,,Haight Ashbury Children's Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,075,11/01/1994,,1655449,06,,,,,37.7892484,,,-122.4024578,,Mechanics Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,075,11/01/1994,,1655468,06,,,,,37.7931024,,,-122.4071833,,Nam Kue School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,075,11/01/1994,01/04/2008,1655543,06,,,,,37.803598,,,-122.4169003,,San Francisco Art Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,075,11/01/1994,,1655549,06,,,,,37.7954845,,,-122.4308047,,Sarah Dix Hamlin School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,075,11/01/1994,,1655606,06,,,,,37.7882624,,,-122.4274713,,Binet Montessori School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Francisco,US,,,944,,94102,CA,Market Street,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,075,11/01/1994,,1655607,06,,,,,37.783732,,,-122.4088701,,Brandon College,,,,,,,,,,,,,,,,,,,,,,,http://brandoncollege.com/,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,075,11/01/1994,,1655628,06,,,,,37.7940957,,,-122.4402493,,Cow Hollow Kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,075,11/01/1994,,1655635,06,,,,,37.769652,,,-122.435249,,Family Home School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,075,11/01/1994,,1655657,06,,,,,37.7819249,,,-122.4040872,,Heald Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,http://www.heald.edu/,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,075,11/01/1994,,1655662,06,,,,,37.7940957,,,-122.4402493,,Hillwood Academic Day School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,075,11/01/1994,,1655667,06,,,,,37.7721273,,,-122.4239265,,International Christian School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,075,11/01/1994,,1655684,06,,,,,37.7602161,,,-122.4369599,,Marin Preparatory School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,075,11/01/1994,,1655688,06,,,,,37.7757065,,,-122.4942444,,Lycee Francais International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,075,11/01/1994,,1655712,06,,,,,37.7827071,,,-122.4244156,,New Learning Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,075,11/01/1994,,1655717,06,,,,,37.790653,,,-122.406507,,Notre Dame Des Victoires Grammar School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,075,11/01/1994,,1655790,06,,,,,37.7260424,,,-122.4324714,,San Francisco Community Alternative School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,075,01/01/1995,09/18/2007,1656834,06,,,,,37.7829849,,,-122.4296935,,Rosa Parks Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,075,01/01/1995,,1656844,06,,,,,37.7474303,,,-122.4138597,,Saint Anthony's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,075,01/01/1995,,1656845,06,,,,,37.7952067,,,-122.4246935,,Saint Brigid School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,075,01/01/1995,06/04/2007,1656851,06,,,,,37.7875,,,-122.4358333,,Saint Dominics School (historical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,075,01/01/1995,,1656853,06,,,,,37.7254867,,,-122.4077489,,Saint Elizabeths School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,075,01/01/1995,,1656897,06,,,,,37.7938178,,,-122.4188601,,Spring Valley Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,075,01/01/1995,,1656900,06,,,,,37.7921513,,,-122.4394159,,Sterne School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,075,01/01/1995,06/01/2007,1656935,06,,,,,37.7792107,,,-122.4675672,,Zion Lutheran School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,075,01/01/1995,,1657027,06,,,,,37.7974289,,,-122.4335825,,California Institute of Fashion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,075,01/01/1995,,1657028,06,,,,,37.7935281,,,-122.4080293,,Chinese Central High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
